<Phenotype>																					
taxa	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data
Taxa	Latitude	Longitude	wc2.1_30s_bio_1	wc2.1_30s_bio_10	wc2.1_30s_bio_11	wc2.1_30s_bio_12	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_15	wc2.1_30s_bio_16	wc2.1_30s_bio_17	wc2.1_30s_bio_18	wc2.1_30s_bio_19	wc2.1_30s_bio_2	wc2.1_30s_bio_3	wc2.1_30s_bio_4	wc2.1_30s_bio_5	wc2.1_30s_bio_6	wc2.1_30s_bio_7	wc2.1_30s_bio_8	wc2.1_30s_bio_9
Amur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Greenar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Manska	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nebraska50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oahe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI229917	35.95	52.11	-3.06	8.07	-13.88	357.00	64.00	4.00	68.90	188.00	31.00	52.00	80.00	11.13	30.90	903.59	16.10	-19.90	36.00	-4.97	4.03
PI229918	35.70	51.42	16.77	28.42	4.92	253.00	43.00	2.00	70.08	118.00	7.00	10.00	111.00	9.79	27.43	949.95	35.50	-0.20	35.70	6.40	27.50
PI229919	35.95	52.11	-3.06	8.07	-13.88	357.00	64.00	4.00	68.90	188.00	31.00	52.00	80.00	11.13	30.90	903.59	16.10	-19.90	36.00	-4.97	4.03
PI229921	35.95	52.11	-3.06	8.07	-13.88	357.00	64.00	4.00	68.90	188.00	31.00	52.00	80.00	11.13	30.90	903.59	16.10	-19.90	36.00	-4.97	4.03
PI229928	35.72	52.53	9.40	21.67	-3.48	188.00	38.00	2.00	69.19	92.00	9.00	13.00	59.00	11.02	28.32	1015.20	29.70	-9.20	38.90	8.77	20.90
PI240129	38.08	46.29	12.38	24.70	-0.38	283.00	49.00	4.00	58.70	130.00	16.00	29.00	67.00	10.92	28.21	1019.13	32.80	-5.90	38.70	11.10	24.40
PI249145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI249146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI253430	45.55	13.73	14.34	23.02	6.12	977.00	110.00	52.00	22.24	314.00	181.00	240.00	199.00	7.09	27.92	688.63	28.20	2.80	25.40	14.98	6.95
PI255150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
