PI_Accession,Latitude,Longitude,Trials_Evaluated,Country_Origin,Latitude_DMS,Longitude_DMS,Cultivar_Name,PC1,PC2,PC3,PC4,PC5,K_2,K_3,K_4,K_5,CP,DMY,IVTD,NDF,FTH,PTHT,SDMG,PLYLD,CP_2008,CP_2009,DMY_2008,DMY_2009,IVTD_2008,IVTD_2009,NDF_2008,NDF_2009,FTH_2007,FTH_2008,FTH_2009,PTHT_2007,PTHT_2008,PTHT_2009,SDMG_2007,SDMG_2008,SDMG_2009,PLYLD_2007,PLYLD_2008,PLYLD_2009,ZDK_2008
PI314054,47.59666667,41.04638889,Agronomic,Russia,47 35 48N,41 02 47E,NA,100.3508192,9.253448837,-41.30520879,0.407435924,-14.7451542,2,3,4,3,NA,NA,NA,NA,15.66704705,104.419662,5.803305609,10.6864823,NA,NA,NA,NA,NA,NA,NA,NA,6.182278012,18.13240415,7.251224255,117.7394628,127.7893925,102.5493959,5.761619398,6.041469068,5.634595062,27.46733019,22.76605835,5.173098761,29.85708925
PI314140,NA,NA,Agronomic,NA,NA,NA,NA,10.82976918,34.2539164,-18.72209471,6.141395983,-8.996814209,1,2,3,1,NA,NA,NA,NA,17.61835879,101.4195848,5.825394853,7.922403491,NA,NA,NA,NA,NA,NA,NA,NA,16.9221758,25.24402657,14.94213915,87.4647997,107.2952311,105.0770059,6.173100815,7.22620059,4.984924487,0.512703259,6.295509567,15.74052537,51.04832162
PI314189,41.78472222,70.26083333,Agronomic,Uzbekistan,41 47 05N,70 15 39E,NA,-35.75264044,57.76620912,-9.037359489,17.20796179,0.388511271,1,2,3,1,NA,NA,NA,NA,19.58144908,101.6184649,5.821913396,7.213851729,NA,NA,NA,NA,NA,NA,NA,NA,24.63675027,43.61571783,15.2457279,89.9876883,104.3852366,105.0770059,5.101217124,7.479702094,5.670687872,0.434949528,9.579514692,3.605985397,51.04832162
PI314190,41.78472222,70.26083333,Agronomic,Uzbekistan,41 47 05N,70 15 39E,NA,-39.06584573,58.64540796,-8.358982656,12.37133929,-2.600495144,1,2,3,1,NA,NA,NA,NA,16.89201539,101.7353824,5.773773251,8.019898844,NA,NA,NA,NA,NA,NA,NA,NA,4.367084019,30.95487488,12.81701793,95.03346548,112.4187715,97.49417608,4.974216687,6.388093574,4.819928785,8.396931636,6.745165654,8.423800132,51.04832162
PI314191,41.78472222,70.26083333,Agronomic,Uzbekistan,41 47 05N,70 15 39E,NA,-29.96322353,57.62357243,-11.18797667,11.85679156,-2.598052477,1,2,3,1,NA,NA,NA,NA,17.20610983,101.8932812,5.776174256,7.796685797,NA,NA,NA,NA,NA,NA,NA,NA,12.23292465,34.61843795,5.530888027,92.51057689,114.9805417,100.021786,4.664335619,6.579513078,5.046797875,6.494557005,9.918019836,4.278361739,51.04832162
PI314192,41.33722222,70.52388889,Agronomic,Uzbekistan,41 20 14N,70 31 26E,NA,6.481779442,35.7891862,-17.92484122,10.64487718,-17.44468661,1,2,3,1,NA,NA,NA,NA,16.3227192,103.3143704,5.811108875,8.447937657,NA,NA,NA,NA,NA,NA,NA,NA,12.03123643,20.34131718,7.757205498,105.1250199,130.3511627,94.96656616,5.756539381,6.750238581,5.268510849,11.05610925,10.22115877,7.364939751,49.03010901
PI314193,42.33722222,71.52388889,Agronomic,Uzbekistan,42 20 14N,71 31 26E,NA,-44.68322311,57.9940561,-9.317522045,12.60987187,-0.438686154,1,2,3,1,NA,NA,NA,NA,16.59477915,102.2090788,5.804551427,8.042369487,NA,NA,NA,NA,NA,NA,NA,NA,19.86682968,22.71185798,4.518925541,87.4647997,117.5423118,107.6046158,5.442554257,6.739891581,5.345852584,1.963591811,13.52032084,6.385493898,51.04832162
PI314610,NA,NA,Agronomic,Russia,NA,NA,NA,8.057195869,41.32284925,-16.13586801,11.13919297,-9.733684059,1,2,3,1,NA,NA,NA,NA,16.19708142,103.630168,5.767650689,8.992714328,NA,NA,NA,NA,NA,NA,NA,NA,7.745361728,20.12581347,10.64129859,102.6021313,127.7893925,105.0770059,4.974216687,6.067336568,4.876646058,4.716588344,24.28175302,5.850769405,51.04832162
PI315065,NA,NA,Agronomic,NA,NA,NA,NA,100.1443598,2.675453833,-24.88501942,-3.355137768,-4.568039103,2,3,4,3,NA,NA,NA,NA,14.87788475,104.8933584,5.793101339,10.22979353,NA,NA,NA,NA,NA,NA,NA,NA,6.736920621,8.811868708,5.277897406,115.2165742,130.3511627,110.1322257,4.903096442,6.470869576,5.639751178,17.39044658,24.45858407,8.037316093,38.43449283
PI315067,NA,NA,Agronomic,NA,NA,NA,NA,111.4823958,3.360490718,-39.72843424,-3.085998335,-10.61444235,2,3,4,3,NA,NA,NA,NA,14.86218003,103.7880668,5.81362993,9.915926913,NA,NA,NA,NA,NA,NA,NA,NA,2.501467971,16.03124298,2.545598691,112.6936856,120.104082,105.0770059,6.30518127,6.14493907,5.423194319,25.57013914,13.85377367,6.909629787,29.85708925
PI315353,NA,NA,Agronomic,Russia,NA,NA,NA,100.0837912,4.190119166,-33.46081642,-1.27277858,-12.72522498,2,3,4,3,NA,NA,NA,NA,17.30426435,102.05118,5.819512391,7.535842964,NA,NA,NA,NA,NA,NA,NA,NA,15.15740387,31.33200637,6.947635509,97.55635408,117.5423118,94.96656616,5.898779871,6.626074579,5.608814484,5.364536107,9.816973524,2.30888143,29.85708925
PI315354,NA,NA,Agronomic,Russia,NA,NA,NA,80.08289067,5.5733117,-21.32928686,-5.572792021,-18.05002528,2,3,4,3,NA,NA,NA,NA,15.14093885,103.3143704,5.813509879,10.4115283,NA,NA,NA,NA,NA,NA,NA,NA,5.173836905,13.28357068,6.036869271,110.1707971,125.2276224,94.96656616,5.792099503,6.020775068,6.062552663,29.26603318,18.41096232,4.495428117,44.9936838
PI315355,44.66805556,43.52027778,Agronomic/Forage,Russia,44 40 05N,43 31 13E,NA,106.7991911,2.482861539,-34.53075661,-6.941292661,-11.01214122,2,3,4,3,8.89605981,1.546649963,69.83526177,62.88391538,15.15271739,102.9985728,5.801624906,9.969378313,8.578895308,9.430600209,1.090748645,2.74900618,70.13287305,70.40632236,62.05592489,65.80683345,3.005688524,14.03783367,7.65600925,107.6479085,122.6658522,94.96656616,6.14262071,5.881090565,5.335540353,18.54638539,23.94324788,4.172475701,41.96636489
PI316122,NA,NA,Agronomic,Russia,NA,NA,NA,107.5721226,4.310939556,-41.16092694,-3.940311726,-6.966424004,2,3,4,3,NA,NA,NA,NA,14.79150878,103.3143704,5.858408668,10.10407584,NA,NA,NA,NA,NA,NA,NA,NA,6.484810344,10.32039468,3.00098181,112.6936856,120.104082,97.49417608,6.503301953,6.465696076,6.825657784,16.66992867,26.47445798,5.104272837,29.85708925
PI317404,35.20777778,62.32916667,Agronomic,Afghanistan,35 12 28N,62 19 45E,NA,-22.40487713,19.27203641,8.756062881,13.71436055,-2.642350946,1,2,3,1,NA,NA,NA,NA,18.71768936,102.840674,5.833198118,7.731688895,NA,NA,NA,NA,NA,NA,NA,NA,10.56899683,31.49363415,29.61559521,105.1250199,122.6658522,94.96656616,5.726059276,7.474528594,5.526316633,5.556328644,12.51491004,1.710625315,51.04832162
PI317406,34.61666667,63.25,Agronomic/Forage,Afghanistan,34 37 00N,63 15 00E,NA,-2.753345817,12.50847318,2.390925439,8.622027545,-14.95486454,1,2,1,1,9.042985259,1.449031638,67.87487107,62.77617174,17.09617678,102.6827752,5.838360278,7.977137724,10.53419128,9.070411615,0.608438901,2.314726163,67.44841718,63.51797881,58.74668009,64.45058655,17.32555225,20.93395238,11.85565357,100.0792427,117.5423118,102.5493959,5.949580046,6.553645577,6.438949108,5.131274912,12.9544615,4.723083099,49.03010901
PI318923,NA,NA,Agronomic,NA,NA,NA,NA,10.1225432,-7.837764521,3.341874886,-14.02340397,31.29545333,1,1,1,5,NA,NA,NA,NA,15.27656407,98.57740644,5.779089437,8.785177351,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.12853359,4.670719914,52.14435937,104.733461,97.49417608,NA,5.875917065,5.294291427,NA,19.47194859,4.738966005,41.2871229
PI325183,44.66805556,43.52027778,Agronomic/Forage,Russia,44 40 05N,43 31 13E,NA,50.65824828,-7.740111527,19.58064154,-17.03076816,-9.527100022,2,3,4,3,8.982061528,1.479541489,69.47355818,62.74979478,19.59322763,101.8932812,5.816030934,7.740241119,8.982069193,9.901284159,0.652234469,2.566750516,68.669133,70.07553636,60.64072214,62.40347218,11.7287041,51.10447174,21.31750282,97.55635408,114.9805417,94.96656616,5.370458051,7.8108061,4.814772669,5.639265958,10.56976855,3.770108756,44.9936838
PI325190,43.86361111,42.78722222,Agronomic,Russia,43 51 49N,42 47 14E,NA,45.27018172,2.511602212,17.49591793,-13.13618389,-1.936302298,2,3,4,3,NA,NA,NA,NA,16.51117587,102.5248764,5.793941691,8.095586027,NA,NA,NA,NA,NA,NA,NA,NA,13.14052165,21.47271165,8.01019612,105.1250199,114.9805417,97.49417608,5.558418698,6.486390076,4.995236718,10.50146597,12.08546322,1.61532788,43.9845775
PI325191,43.86361111,42.78722222,Agronomic,Russia,43 51 49N,42 47 14E,NA,49.51253196,-2.159177341,23.87242353,-33.0453475,10.62397425,2,3,4,3,NA,NA,NA,NA,16.8684583,100.7879896,5.783977521,8.170417988,NA,NA,NA,NA,NA,NA,NA,NA,8.451270503,26.32154512,12.76641981,95.03346548,117.5423118,77.27329667,5.253617649,6.429481575,4.93336333,7.111403275,17.29945289,0.540584593,29.85708925
PI326209,50.27277778,87.44194444,Agronomic,Russia,50 16 22N,87 26 31E,NA,96.03442247,-1.141863624,-15.20040648,0.55630532,5.099119166,2,3,4,3,NA,NA,NA,NA,15.99292003,103.4722692,5.805226413,9.193691593,NA,NA,NA,NA,NA,NA,NA,NA,6.888186787,22.22697464,6.897037385,107.6479085,122.6658522,102.5493959,5.578738768,6.413961075,5.531472749,13.14509284,18.65852578,5.623114423,35.40717392
PI340064,NA,NA,Agronomic,Turkey,NA,NA,NA,88.65104143,-8.367083325,40.94471149,33.01123191,9.676548385,2,3,4,3,NA,NA,NA,NA,14.32821947,103.3143704,5.816150985,10.1635138,NA,NA,NA,NA,NA,NA,NA,NA,3.913285521,7.249466812,2.495000567,102.6021313,120.104082,107.6046158,5.360298016,5.963866567,6.670974313,22.47554062,21.03816642,5.607231518,40.95725859
PI343186,NA,NA,Agronomic,Iran,NA,NA,NA,-27.71374198,-22.54227421,-14.40976757,2.533494268,8.563013188,1,1,1,5,NA,NA,NA,NA,18.23869533,99.99849563,5.853006407,9.390392746,NA,NA,NA,NA,NA,NA,NA,NA,24.98970466,25.08239879,14.99273728,79.89613392,107.2952311,89.9113463,6.046100378,7.826326601,5.701624566,4.892830135,23.80178304,11.09742259,52.05742793
PI345586,47.83222222,38.44027778,Agronomic/Forage,Russia,47 49 56N,38 26 25E,NA,109.2085984,3.011676611,-38.94934651,-2.898472047,-6.03680022,2,3,4,3,8.66596919,1.581425052,70.374236,62.8450252,15.69453031,102.9985728,5.802105107,8.449648102,8.191907409,7.262777642,1.413394883,2.73969928,69.26589185,73.90999613,62.87081373,63.78786212,10.11519833,15.60023556,6.036869271,100.0792427,125.2276224,100.021786,6.137540693,6.041469068,5.201481345,8.101467456,13.26265275,7.216699297,35.40717392
PI369174,54.395,83.33888889,Agronomic,Russia,54 23 42N,83 20 20E,NA,54.86834581,14.65301798,-13.79383838,1.675203397,3.544746268,2,3,4,3,NA,NA,NA,NA,14.32429329,102.5248764,5.761528127,9.293325003,NA,NA,NA,NA,NA,NA,NA,NA,5.274681015,6.118072337,2.140813697,102.6021313,114.9805417,100.021786,5.289177771,5.544813059,4.814772669,14.52910926,14.94507383,9.33442006,47.01189641
PI380630,38.4675,45.66944444,Agronomic/Forage,Iran,38 28 03N,45 40 10E,NA,-43.55290956,1.048857168,-6.375943808,3.725184976,12.68297764,1,2,3,1,8.657243209,1.405654557,68.55989779,62.89450009,16.47191406,101.4195848,5.776174256,7.514034793,8.0305236,7.373272997,0.622837594,1.873048097,66.88006981,67.35501184,62.58143595,65.72682933,13.79600837,15.97736706,12.00744794,84.94191111,112.4187715,102.5493959,4.532255165,6.310491073,5.448974898,0.953307738,10.74659959,5.570171404,50.03921532
PI380631,37.9675,46.30277778,Agronomic/Forage,Iran,37 58 03N,46 18 10E,NA,-26.21426667,-6.128675248,3.582341109,5.260982913,5.464809577,1,1,1,4,9.133440898,1.388070405,68.59319749,62.81753077,18.0816481,100.7879896,5.797183047,6.910247776,10.60395266,9.531528055,0.775266227,1.53459765,66.26821534,68.12293309,60.32915564,64.98682658,11.67828205,41.99944,10.43890609,79.89613392,117.5423118,92.43895623,5.472058401,6.745065081,4.964300024,0.232789826,7.028095326,2.727131281,50.03921532
PI380632,38.4775,47.07,Agronomic/Forage,Iran,38 28 39N,47 04 12E,NA,-39.03754939,-14.31274627,-4.034463896,-4.618504879,-2.023930501,1,1,1,5,9.035286086,1.420231747,70.26294459,62.8316626,16.59755184,100.9458884,5.789980033,8.019471233,8.855556551,10.25546961,0.787629728,1.837021005,69.83716299,72.80127788,62.79669203,63.96036659,16.21626703,11.88279657,15.0433354,89.9876883,104.733461,97.49417608,5.334897929,6.300144073,5.237574155,4.576631627,14.85413215,3.823051775,42.97547119
PI380633,38.4775,47.07,Agronomic/Forage,Iran,38 28 39N,47 04 12E,NA,-31.67011254,-17.37642441,-1.159456718,-5.938539842,-8.340076932,1,1,1,4,8.996475356,1.377293681,68.24404806,62.90364266,16.21278615,101.261686,5.789859983,6.764004745,9.070062715,9.421532962,0.362551986,1.877540341,68.03529595,64.94063357,68.87609476,65.31328589,8.098316116,25.45953028,5.480289903,82.41902251,120.104082,94.96656616,4.003933345,7.189986089,5.69646845,1.202119679,2.612371512,4.553665438,47.01189641
PI380634,38.32527778,47.86833333,Agronomic,Iran,38 19 31N,47 52 06E,NA,-43.486254,-9.384971011,-3.282673618,-4.883807268,-14.10851009,1,1,1,4,NA,NA,NA,NA,15.80838955,99.84059683,5.734396773,8.184529157,NA,NA,NA,NA,NA,NA,NA,NA,15.4599362,11.12853359,6.340458017,79.89613392,107.2952311,87.38373637,4.3392145,5.59654806,4.562123001,5.089806255,14.64698722,5.559582801,51.04832162
PI380636,34.18055556,48.18472222,Agronomic,Iran,34 10 50N,48 11 05E,NA,-41.40820025,-21.04473084,-7.389896765,-3.897295051,6.488624307,1,1,1,5,NA,NA,NA,NA,18.03060775,101.5774836,5.783977521,7.337858978,NA,NA,NA,NA,NA,NA,NA,NA,19.24159035,27.72231923,15.59991477,87.4647997,122.6658522,92.43895623,4.755775934,6.983046085,4.886958289,1.134733111,11.02952926,2.907137545,50.03921532
PI380637,33.53611111,48.87666667,Agronomic,Iran,33 32 10N,48 52 36E,NA,-27.09489893,-19.33617959,-11.14124424,3.417031687,1.959805527,1,1,1,5,NA,NA,NA,NA,15.56104017,100.3142932,5.762008328,8.662598481,NA,NA,NA,NA,NA,NA,NA,NA,14.0985407,6.441327901,8.920962358,87.4647997,104.733461,89.9113463,5.111377159,6.010428067,4.55181077,13.37317045,9.3875267,8.52968617,50.03921532
PI380638,NA,NA,Agronomic,Iran,NA,NA,NA,-29.99472172,-12.1580323,3.497263922,14.48272346,4.582871766,1,1,1,5,NA,NA,NA,NA,18.70591081,100.7879896,5.74596657,7.00432224,NA,NA,NA,NA,NA,NA,NA,NA,14.5523392,44.10060117,13.62658792,87.4647997,114.9805417,87.38373637,4.35953457,5.307545078,4.819928785,2.606870428,5.704388645,2.854194526,52.05742793
PI380639,34.33,49.33055556,Agronomic,Iran,34 19 48N,49 19 50E,NA,-12.68302183,-11.69966348,1.825186061,16.57138047,8.190433924,1,1,1,5,NA,NA,NA,NA,16.79386087,103.630168,5.833798369,7.942073606,NA,NA,NA,NA,NA,NA,NA,NA,16.36753319,14.52271702,14.94213915,92.51057689,127.7893925,115.1874456,5.720979258,6.915790584,6.11411382,3.420692818,14.38426681,4.537782533,52.05742793
PI380640,38.67055556,45.18027778,Agronomic,Iran,38 40 14N,45 10 49E,NA,-5.673986369,3.850360287,4.960236466,13.38919895,-19.51714409,1,1,1,4,NA,NA,NA,NA,16.22456469,102.9985728,5.775213854,8.808841512,NA,NA,NA,NA,NA,NA,NA,NA,15.66162442,12.63705956,10.08471922,107.6479085,122.6658522,94.96656616,5.304417824,5.772447063,5.16023242,17.58223912,14.21754039,0.980011652,44.9936838
PI380641,38.00138889,46.58916667,Agronomic,Iran,38 00 05N,46 35 21E,NA,-28.95078577,-15.19828325,-2.263334459,-0.573116927,-4.129636051,1,1,1,4,NA,NA,NA,NA,18.59597776,102.2090788,5.777614859,7.645739043,NA,NA,NA,NA,NA,NA,NA,NA,15.0061377,36.55797133,18.83819473,87.4647997,125.2276224,100.021786,4.618615462,6.884749583,4.850865479,2.705358488,10.63544865,5.527816989,47.01189641
PI380642,35.73083333,53.56555556,Agronomic,Iran,35 43 51N,53 33 56E,NA,-26.28707118,38.99444851,-8.137850022,7.205083604,-7.890620443,1,2,3,1,NA,NA,NA,NA,16.69963254,103.3143704,5.805226413,8.840484741,NA,NA,NA,NA,NA,NA,NA,NA,14.5523392,27.12968403,3.709355551,102.6021313,127.7893925,100.021786,5.085977071,7.122730588,5.325228122,8.433216711,15.76354896,9.096176474,50.03921532
PI380654,35.30722222,59.14611111,Agronomic/Forage,Iran,35 18 26N,59 08 46E,NA,-42.52789409,-17.56475844,-6.070979337,-3.184389508,-5.717591886,1,1,1,5,8.889702759,1.419321871,70.18825475,62.89942426,18.70198463,100.3142932,5.810748724,6.849954597,8.233347477,9.192037799,0.46414557,2.179840748,69.71955274,72.57444412,64.67372128,65.07206991,20.04834324,38.6591325,13.1712048,82.41902251,114.9805417,84.85612645,4.908176459,7.712509599,5.155076304,0.491968931,7.220083318,1.514736144,49.03010901
PI383546,38.02944444,35.3975,Agronomic,Turkey,38 01 46N,35 23 51E,NA,-17.37016783,-14.79324687,8.102181585,-14.31219039,-5.831973708,1,1,1,4,NA,NA,NA,NA,17.83822491,99.68269803,5.838000128,7.073167644,NA,NA,NA,NA,NA,NA,NA,NA,11.12363944,35.85758428,13.62658792,72.32746813,104.733461,94.96656616,5.370458051,7.438314094,6.129582167,0.53862117,7.917302868,3.500099359,41.96636489
PI383547,37.96666667,34.68333333,Agronomic/Forage,Turkey,37 58 00N,34 41 00E,NA,-24.6111074,-17.21631316,5.404992451,-16.03486727,-9.575481053,1,1,1,4,9.095596055,1.332350319,70.39427323,62.71753129,17.52805664,101.1037872,5.819992592,8.130650146,10.22177295,9.593372937,0.497669533,1.289209886,70.7816993,72.51117037,59.85945256,61.95612168,18.2835713,28.20720258,9.629336099,95.03346548,112.4187715,87.38373637,5.787019486,7.102036587,5.268510849,10.04012716,12.67153183,1.906514485,48.02100271
PI383548,37.55527778,34.51,Agronomic,Turkey,37 33 19N,34 30 36E,NA,-6.564656179,-13.01302286,11.25513885,-24.33893746,-0.123848799,1,1,1,4,NA,NA,NA,NA,16.60147802,99.99849563,5.799103851,7.52386985,NA,NA,NA,NA,NA,NA,NA,NA,18.93905802,5.363809353,18.48400786,84.94191111,104.733461,87.38373637,4.903096442,6.186327071,6.181143324,3.088943564,12.48459615,1.689448107,46.0027901
PI383550,39.80555556,32.74666667,Agronomic/Forage,Turkey,39 48 20N,32 44 48E,NA,5.561701135,-9.578341012,-7.704653264,-1.556496543,-12.60438909,1,1,1,4,8.665039064,1.373245569,69.68193246,62.80488077,15.66704705,102.5248764,5.774013351,8.530466619,8.242464814,7.185549705,0.743334414,1.423720515,70.69141107,69.10150835,60.73699929,64.20983078,8.098316116,11.77504472,11.2990742,105.1250199,114.9805417,97.49417608,4.918336494,6.005254567,5.268510849,13.49757642,11.86821365,4.167181399,43.9845775
PI383551,38.39472222,39.67305556,Agronomic/Forage,Turkey,38 23 41N,39 40 23E,NA,-22.99952559,-14.06799953,3.242794655,-6.179202496,2.427325707,1,1,1,5,9.120994412,1.278848722,70.66529256,62.78912819,18.0620172,100.7879896,5.822393597,7.645311432,9.650788472,10.63879532,0.428661907,0.838791373,68.82380068,75.77627215,61.13816111,63.33215722,16.46837731,25.40565436,20.96331595,89.9876883,104.733461,94.96656616,5.080897054,7.143424588,6.047084316,3.249634609,9.690665635,5.956655443,44.9936838
PI383552,38.86694444,39.32611111,Agronomic/Forage,Turkey,38 52 01N,39 19 34E,NA,-28.72330645,-14.7236338,0.251371765,1.727162315,3.101786324,1,1,1,5,8.814880768,1.305836236,69.54748494,62.85366138,17.84607727,100.6300908,5.799464002,8.569379239,8.274931999,8.885689895,0.355627278,1.183262555,68.93657176,70.17448311,62.14098162,64.69856393,23.12408861,23.46612097,13.32299918,87.4647997,112.4187715,87.38373637,5.822579608,6.750238581,4.701338124,2.715725652,19.23954207,7.936724356,50.03921532
PI383553,41.14361111,43.32555556,Agronomic/Forage,Turkey,41 08 37N,43 19 32E,NA,-28.4149009,-17.83998568,0.70287896,-11.44897631,1.31590028,1,1,1,4,8.967114993,1.360310264,71.6629055,62.8226821,19.1338645,100.7879896,5.80378581,7.076160922,9.332733834,9.266826958,0.600842628,1.451623756,72.04630561,77.49326441,61.93140756,63.81363336,19.24159035,34.78006573,23.18963342,92.51057689,107.2952311,89.9113463,5.365378034,6.998566586,5.103515147,2.435812219,6.775479547,2.795957205,49.03010901
PI383554,39.92194444,40.69138889,Agronomic/Forage,Turkey,39 55 19N,40 41 29E,NA,-32.13978656,-18.11157721,2.843552415,-15.09648581,-17.20728583,1,1,1,4,9.296212968,1.361584952,69.68462371,62.77482307,16.80563941,100.7879896,5.822393597,7.463576671,11.79428916,9.861138138,0.925479651,1.111133339,71.51360501,68.30260234,58.35486459,65.18658909,16.26668908,19.26379863,10.74249483,84.94191111,109.8570013,94.96656616,5.710819223,6.977872585,5.572721674,2.954170429,10.51924539,3.140086829,38.43449283
PI383555,40.88111111,40.41638889,Agronomic/Forage,Turkey,40 52 52N,40 24 59E,NA,-37.80304915,-22.25894351,-2.27344483,-8.70165281,-8.041806284,1,1,1,4,8.772161473,1.420598186,68.34427699,62.81852129,16.49154497,100.9458884,5.792741188,8.338041579,8.202246767,7.96833457,0.836999016,1.786935874,68.02681141,65.24240882,59.26132948,65.5142874,14.90529359,13.93008181,13.07000855,87.4647997,107.2952311,97.49417608,4.953896617,6.569166078,5.474755476,6.810755513,15.88480453,4.405424985,47.01189641
PI383556,39.90861111,41.27666667,Agronomic/Forage,Turkey,39 54 31N,41 16 36E,NA,-29.55543249,-16.55930477,2.514315204,-13.96922382,-6.962221766,1,1,1,4,9.028696869,1.297904076,70.93574493,62.85640545,18.51745415,101.8932812,5.816631186,7.283979966,9.316452635,10.00446318,0.39195501,1.065855435,70.29417851,75.6522979,61.84429165,65.04251087,15.20782592,44.31610488,10.33770984,77.37324532,130.3511627,100.021786,4.52209513,7.966011103,5.546941096,2.466913712,6.047946104,6.099601595,39.44359913
PI383557,39.90888889,41.27694444,Agronomic/Forage,Turkey,39 54 32N,41 16 37E,NA,-27.93922633,-17.71469117,6.457168503,-16.57458315,-13.44527476,1,1,1,4,9.215833893,1.430294351,70.19725489,62.81425465,20.9320552,102.05118,5.827315657,7.421243162,12.39168031,9.513518625,0.487790415,2.261893832,70.89944504,71.71966687,59.88263556,65.03401485,17.93061691,64.25019803,20.00195159,95.03346548,109.8570013,105.0770059,4.903096442,7.365885092,6.217236134,5.628898794,6.957362908,3.616574001,50.03921532
PI383558,41.23888889,42.7025,Agronomic,Turkey,41 14 20N,42 42 09E,NA,-28.43388173,-16.27894969,5.968456529,-17.640658,-10.31845616,1,1,1,4,NA,NA,NA,NA,19.18097866,101.4195848,5.821313145,7.626496539,NA,NA,NA,NA,NA,NA,NA,NA,23.0232445,32.35564899,22.27886718,95.03346548,107.2952311,97.49417608,6.56934218,6.796800082,4.835397132,4.229331626,11.40845293,2.923020451,43.9845775
PI383561,40.60805556,43.0975,Agronomic/Forage,Turkey,40 36 29N,43 05 51E,NA,-31.31477569,-14.73080036,2.978529954,-7.879103909,-10.0934782,1,1,1,4,9.586175752,1.423599626,71.43838374,62.67922898,19.47151603,100.472192,5.838120178,7.33144481,12.18694216,12.71788392,0.55239085,2.125896313,72.02300197,76.4134864,58.56162304,61.73699534,10.97237327,51.10447174,20.50793283,87.4647997,102.1716908,94.96656616,5.756539381,7.8004591,5.381945394,1.290240574,11.41350525,2.266527015,48.02100271
PI383562,39.91861111,44.04638889,Agronomic/Forage,Turkey,39 55 07N,44 02 47E,NA,-38.90406872,-17.87813084,-1.802159927,-8.535827415,-12.31374682,1,1,1,4,9.0015888,1.437676607,70.25163714,62.78239406,20.21356416,101.4195848,5.840281082,6.890577661,9.120411773,9.946682929,0.806159607,1.988203524,69.73542637,72.84403613,59.87508551,64.16540371,15.51035825,48.03354387,28.40124023,89.9876883,107.2952311,102.5493959,5.466978384,7.696989098,5.871776383,0.802983857,5.562923809,3.436567736,35.40717392
PI383563,39.91861111,44.04638889,Agronomic/Forage,Turkey,39 55 07N,44 02 47E,NA,-37.1527118,-18.76189648,-3.456263156,-8.192630884,-2.649607107,1,1,1,5,9.383604804,1.539488388,70.80838951,62.74466845,20.3666852,101.8932812,5.853966809,6.95087084,11.40025275,12.04127966,1.122695146,2.64393137,70.54587252,74.83837539,58.49881145,63.59567522,18.78779185,43.61571783,31.23473519,87.4647997,112.4187715,107.6046158,5.898779871,8.017746104,5.701624566,3.151146549,3.11760307,4.347187664,40.95725859
PI383564,40.60805556,43.0975,Agronomic/Forage,Turkey,40 36 29N,43 05 51E,NA,-33.92836446,-10.56529972,3.557931955,-13.93388179,-10.63438659,1,1,1,4,9.138588245,1.330831993,70.59457472,62.79605634,17.53983518,101.5774836,5.775814105,7.688072552,9.855345663,10.59677332,0.457962795,1.317474914,72.65328037,72.32057362,61.29811748,63.66392653,14.85487153,31.60138601,10.03412109,89.9876883,117.5423118,94.96656616,4.953896617,6.574339578,4.74258705,2.61205401,11.1709941,5.58605431,41.96636489
PI383565,40.61138889,43.41333333,Agronomic,Turkey,40 36 41N,43 24 48E,NA,-30.506114,-15.34834091,3.029829007,-16.02345809,-11.15902494,1,1,1,4,NA,NA,NA,NA,18.05809102,100.9458884,5.775574005,8.094303194,NA,NA,NA,NA,NA,NA,NA,NA,11.42617177,39.79052698,12.46283106,102.6021313,104.733461,84.85612645,4.583055339,6.367399574,5.31491589,8.039264471,12.28250353,3.907760606,48.02100271
PI383568,39.91861111,44.04638889,Agronomic/Forage,Turkey,39 55 07N,44 02 47E,NA,-30.95393965,-11.68619126,1.037400323,-3.3873487,2.596879243,1,1,1,4,9.24267964,1.330535711,70.34162526,62.77706502,17.88141289,102.05118,5.798263499,7.910002766,10.97908671,10.3093103,0.480749566,1.289786739,71.29430809,71.74624537,58.90357294,64.80118869,18.38441541,29.60797669,12.76641981,89.9876883,117.5423118,102.5493959,5.025016862,7.029607586,5.180856883,0.942940574,15.34420677,5.665468839,38.43449283
PI383569,40.62472222,43.09777778,Agronomic,Turkey,40 37 29N,43 05 52E,NA,77.48194664,-8.516156874,48.56065557,42.80936912,-2.419205439,2,3,4,3,NA,NA,NA,NA,15.93402732,103.630168,5.790700334,8.193508992,NA,NA,NA,NA,NA,NA,NA,NA,11.22448355,18.72503935,5.075504908,110.1707971,120.104082,105.0770059,5.644778996,6.010428067,5.242730271,9.51658537,13.42937916,2.425356072,44.9936838
