PI_Accession,Latitude,Longitude,Trials_Evaluated,Country_Origin,Latitude_DMS,Longitude_DMS,Cultivar_Name,PC1,PC2,PC3,PC4,PC5,K_2,K_3,K_4,K_5,CP,DMY,IVTD,NDF,FTH,PTHT,SDMG,PLYLD,CP_2008,CP_2009,DMY_2008,DMY_2009,IVTD_2008,IVTD_2009,NDF_2008,NDF_2009,FTH_2007,FTH_2008,FTH_2009,PTHT_2007,PTHT_2008,PTHT_2009,SDMG_2007,SDMG_2008,SDMG_2009,PLYLD_2007,PLYLD_2008,PLYLD_2009,ZDK_2008
PI204386,39.91666667,41.3,Agronomic/Forage,Turkey,39 55 00N,41 18 00E,NA,-28.65361384,-18.8199884,6.933634638,-22.24877083,-31.56793577,1,1,1,4,9.106687675,1.302095904,70.73254503,62.68319838,17.1511433,101.8932812,5.84400264,7.819776802,9.675924357,10.4393784,0.424998698,1.071093166,71.41239654,73.54970588,57.90369412,62.42722561,17.52724047,25.19015065,8.36438299,97.55635408,109.8570013,100.021786,6.63030239,7.22102709,5.325228122,5.328251032,12.98982771,2.536536412,35.40717392
PI204550,40.45,39.48333333,Agronomic/Forage,Turkey,40 27 00N,39 29 00E,NA,-14.80233007,-17.992852,4.709467274,-20.85160959,-39.89121016,1,1,1,4,9.063135164,1.374832009,69.47316963,62.74538858,19.19275721,101.4195848,5.804266011,6.886301549,9.463468107,10.09213409,0.561050151,1.63751697,69.39609889,69.48256085,59.08174689,63.28868595,24.08210766,38.82076028,15.29632602,92.51057689,112.4187715,94.96656616,4.862456302,6.864055583,5.76865407,4.032355506,4.547408378,1.149429313,35.40717392
PI204854,40.96666667,35.66666667,Agronomic/Forage,Turkey,40 58 00N,35 40 00E,NA,-9.851269166,-15.35709142,3.359931155,-20.17051936,-49.36677023,1,1,1,4,9.210550441,1.347743288,71.32908717,62.79277148,17.20610983,100.7879896,5.797183047,7.416539439,10.81428909,10.64780003,0.47074406,1.469668132,74.77386717,74.22157089,60.38518658,64.07290336,14.40107304,30.73937117,6.998233633,100.0792427,104.733461,84.85612645,5.380618086,6.646768579,5.155076304,7.738616709,6.290457252,2.102403656,46.0027901
PI206259,39.69333333,34.64472222,Agronomic,Turkey,39 41 36N,34 38 41E,NA,44.11419581,1.372870124,-12.02447114,4.017117769,-18.6976826,2,3,4,3,NA,NA,NA,NA,16.23241705,102.9985728,5.811228925,9.363025629,NA,NA,NA,NA,NA,NA,NA,NA,7.745361728,15.49248371,15.4481204,105.1250199,117.5423118,102.5493959,5.350137981,6.346705574,6.088333242,12.8962809,16.54665787,10.18680267,42.97547119
PI206618,40.77888889,43.44777778,Agronomic/Forage,Turkey,40 46 44N,43 26 52E,NA,-25.50555936,-16.80745872,5.822787991,-15.5368778,-28.28697929,1,1,1,4,9.333278298,1.32947584,70.30906645,62.80364268,19.8209461,100.6300908,5.818191839,7.062477364,12.07302956,10.98841588,0.319998439,1.454177805,70.16594827,72.77921138,61.09480321,64.01732528,17.98103897,54.01377182,15.2457279,84.94191111,104.733461,97.49417608,4.456054902,8.364370611,5.283979196,2.140348039,4.820233419,4.977209591,47.01189641
PI206625,40.67527778,43.16833333,Agronomic,Turkey,40 40 31N,43 10 06E,NA,-6.391650541,-2.471285375,-1.5240674,-12.4176584,-22.63396625,1,1,1,4,NA,NA,NA,NA,18.30151421,101.4195848,5.761888278,7.332727643,NA,NA,NA,NA,NA,NA,NA,NA,8.652958724,37.90486952,20.15374596,105.1250199,104.733461,89.9113463,5.121537194,6.563992578,3.984638045,8.013346561,4.729291739,2.42006177,35.40717392
PI208062,40.5,42.75,Agronomic/Forage,Turkey,40 30 00N,42 45 00E,NA,-0.6268594,-6.317002179,-7.265408656,-5.366668095,-22.03554446,1,1,1,4,9.026143055,1.452625115,69.06040513,62.8177529,16.87238448,101.7353824,5.80894797,7.969868334,9.133931833,10.21451066,0.794295511,2.147918854,66.34583467,70.34107461,61.13996815,64.31142893,6.686498565,24.48976359,16.30828851,97.55635408,117.5423118,89.9113463,5.466978384,6.450175575,5.76865407,9.236671937,11.34782514,2.123580863,47.01189641
PI210990,36.62833333,69.76027778,Agronomic,Afghanistan,36 37 42N,69 45 37E,NA,-43.47121131,37.58361743,-2.124572856,3.528194679,2.134293393,1,2,3,1,NA,NA,NA,NA,19.04748852,100.6300908,5.826835456,7.295097858,NA,NA,NA,NA,NA,NA,NA,NA,12.13208054,58.00059045,7.403018628,89.9876883,107.2952311,89.9113463,4.720215812,8.762730118,4.990080602,6.178358497,3.931025878,4.664845778,50.03921532
PI210992,34.17694444,61.70055556,Agronomic/Forage,Afghanistan,34 10 37N,61 42 02E,NA,36.29740782,-1.049367554,-7.075143426,-3.202839784,-23.75709216,1,3,4,4,8.743261057,1.385779642,69.77837958,62.80673735,18.7294679,101.1037872,5.824794602,8.402183259,8.467354817,7.799933896,0.753637787,1.535618007,70.56425811,69.70082885,60.47434882,64.49469502,14.65318331,48.03354387,10.13531734,92.51057689,109.8570013,92.43895623,5.761619398,7.195159589,5.407725972,7.795636112,12.75742119,7.470825789,49.03010901
PI212240,NA,NA,Agronomic,USA,NA,NA,NA,-30.66436684,36.88299716,-7.01331567,10.62417892,0.954256473,1,2,3,1,NA,NA,NA,NA,17.73614421,102.6827752,5.789139681,8.833642961,NA,NA,NA,NA,NA,NA,NA,NA,23.0232445,17.53976895,17.57324162,100.0792427,120.104082,100.021786,5.116457176,6.574339578,5.149920188,8.728680891,17.8198414,6.554911559,50.03921532
