Accession,Longitude,Latitude
PI440016,43.04,45.08
PI440017,43.04,45.08
PI440018,43.04,45.08
PI440019,45.52,44.78
PI440021,71.37,42.9
PI440022,69.6,42.32
PI440023,69.67,42.35
PI440024,69.6,42.32
PI440025,69.6,42.32
PI440026,69.6,42.32
PI440027,41.9,44.7
PI440028,41.9,44.7
PI440029,41.03,45.02
PI440030,41.03,45.02
PI440031,41.03,45.02
PI440032,41.86,44.62
PI440033,43.37,45.1
PI440034,43.37,45.1
PI440035,43.37,45.1
PI440036,72.94,43.1
PI440037,72.37,42.98
PI440038,72.37,42.98
PI440039,71.19,43.02
PI440040,71.19,43.02
PI440041,70.56,42.57
PI440042,70.56,42.57
PI440043,70.56,42.57
PI440044,70.56,42.57
PI440045,70.56,42.57
PI440046,69.14,42.45
PI440047,68.29,42.23
PI440048,68.29,42.23
PI440049,68.29,42.23
PI440050,68.29,42.23
PI440051,68.29,42.23
PI440052,68.29,42.23
PI440053,68.29,42.23
PI440054,68.29,42.23
PI440055,68.29,42.23
PI440056,68.12,41.27
PI440057,68.12,41.27
PI442637,27.15,38.41
PI486197,59.56,38.97
PI494618,25,46
PI494686,28.65,44.18
PI494687,28.58,43.8
PI502351,44.26,46.31
PI502356,41.97,45.05
PI531721,103.87,36.04
PI531722,-97.14,49.81
PI531723,-97.14,49.81
PI531724,37.62,55.75
PI531725,13.42,52.67
PI531726,13.54,52.17
PI547314,69.6,42.32
PI547315,23.91,60.09
PI547316,NaN,NaN
PI547317,30.52,50.45
PI547318,39.25,52.69
PI547319,100,60
PI547333,105,35
PI547334,17.03,51.1
PI547335,15.74,50.74
PI547336,6.72,43.67
PI547337,5.02,43.57
PI547338,2.75,43
PI565004,-1.07,39.94
PI574518,NaN,NaN
PI578689,NaN,NaN
PI578695,NaN,NaN
PI578699,NaN,NaN
PI598480,28.37,47.41
PI618797,60.27,48.13
PI619581,68.25,38.92
PI634227,NaN,NaN
PI634290,33.85,44.51
