"PI_Accession","Latitude","Longitude","Cultivar_Name","ID","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"PI223668",38.36666667,47.18333333,NA,26,7.15416669845581,17.8666667938232,-3.90000009536743,339,63,12,54.6449775695801,152,41,59,57,10.5749998092651,29.8728809356689,892.273559570312,26.1000003814697,-9.30000019073486,35.4000015258789,5.80000019073486,17.716667175293
"PI228274",31.95083333,51.29222222,NA,27,12.0208330154419,23.1333332061768,0.5,245,49,0,86.268440246582,125,3,4,120,16.2416667938232,39.3260688781738,911.246520996094,33.9000015258789,-7.40000009536743,41.3000030517578,1.88333344459534,22.3333339691162
"PI228386",35.24722222,47.02777778,NA,28,13.1333332061768,25.2000007629395,1.13333332538605,491,92,1,79.6356506347656,230,3,4,201,15.6000003814697,36.8794326782227,970.864990234375,36.4000015258789,-5.90000009536743,42.3000030517578,2.40000009536743,24.7666664123535
"PI229475",38.08333333,47.93333333,NA,29,7.92500019073486,17.8500003814697,-2.71666669845581,317,59,10,52.6602783203125,141,35,44,63,12,33.5195541381836,842.192749023438,27,-8.80000019073486,35.7999992370605,6.65000009536743,17.6333332061768
"PI229576",32.01833333,50.74861111,NA,30,9.87916660308838,21.033332824707,-1.60000002384186,298,62,0,85.9705581665039,152,5,7,140,14.1916666030884,35.7472724914551,913.898864746094,30.7000007629395,-9,39.7000007629395,-0.550000011920929,20.2999992370605
"PI229577",32.01833333,50.74861111,NA,31,9.87916660308838,21.033332824707,-1.60000002384186,298,62,0,85.9705581665039,152,5,7,140,14.1916666030884,35.7472724914551,913.898864746094,30.7000007629395,-9,39.7000007629395,-0.550000011920929,20.2999992370605
"PI229916",35.9475,52.10722222,NA,32,-3.0625,8.06666660308838,-13.8833332061768,357,64,4,68.9040985107422,188,31,52,80,11.125,30.9027786254883,903.589111328125,16.1000003814697,-19.8999996185303,36,-4.96666669845581,4.03333330154419
"PI229917",35.9475,52.10722222,NA,33,-3.0625,8.06666660308838,-13.8833332061768,357,64,4,68.9040985107422,188,31,52,80,11.125,30.9027786254883,903.589111328125,16.1000003814697,-19.8999996185303,36,-4.96666669845581,4.03333330154419
"PI229918",35.69611111,51.42305556,NA,34,16.7708339691162,28.4166660308838,4.91666650772095,253,43,2,70.0845794677734,118,7,10,111,9.7916669845581,27.4276371002197,949.946044921875,35.5,-0.200000002980232,35.7000007629395,6.40000009536743,27.5
"PI229919",35.9475,52.10722222,NA,35,-3.0625,8.06666660308838,-13.8833332061768,357,64,4,68.9040985107422,188,31,52,80,11.125,30.9027786254883,903.589111328125,16.1000003814697,-19.8999996185303,36,-4.96666669845581,4.03333330154419
"PI229921",35.9475,52.10722222,NA,36,-3.0625,8.06666660308838,-13.8833332061768,357,64,4,68.9040985107422,188,31,52,80,11.125,30.9027786254883,903.589111328125,16.1000003814697,-19.8999996185303,36,-4.96666669845581,4.03333330154419
"PI229928",35.71833333,52.52722222,NA,37,9.39999961853027,21.6666660308838,-3.4833333492279,188,38,2,69.1874923706055,92,9,13,59,11.0166664123535,28.3204784393311,1015.20037841797,29.7000007629395,-9.19999980926514,38.9000015258789,8.76666641235352,20.8999996185303
"PI240129",38.08,46.29166667,NA,38,12.375,24.7000007629395,-0.38333335518837,283,49,4,58.7039794921875,130,16,29,67,10.9166660308838,28.2084407806396,1019.13177490234,32.7999992370605,-5.90000009536743,38.7000007629395,11.1000003814697,24.3999996185303
"PI249145",NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI249146",NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI253430",45.54666667,13.72916667,NA,41,14.3374996185303,23.0166664123535,6.11666679382324,977,110,52,22.2437725067139,314,181,240,199,7.09166669845581,27.9199466705322,688.628845214844,28.2000007629395,2.79999995231628,25.4000015258789,14.9833335876465,6.9500002861023
"PI255150",NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI273732",57.18805556,39.41527778,NA,43,4.08333349227905,16.6666660308838,-8.46666622161865,599,84,27,34.2480888366699,220,91,220,108,8.48333358764648,23.4995384216309,1023.54626464844,23.1000003814697,-13,36.0999984741211,16.6666660308838,-2.43333339691162
"PI273733",51.73027778,36.19388889,NA,44,6.16249990463257,18.2333335876465,-6.23333311080933,639,81,36,24.7322673797607,211,117,211,125,8.07499980926514,23.6803512573242,1007.47686767578,24,-10.1000003814697,34.0999984741211,18.2333335876465,-5.08333349227905
"PI273737",NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI286118",NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI297872",NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI297876",NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI314054",47.59666667,41.04638889,NA,49,9.28750038146973,21.6333332061768,-3.34999990463257,505,56,30,20.6292495727539,157,100,146,121,8.90833377838135,24.6768245697021,1028.64685058594,28.6000003814697,-7.5,36.0999984741211,19.9000015258789,-2.18333339691162
"PI314140",NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI314189",41.78472222,70.26083333,NA,51,7.25,18.1499996185303,-3.88333344459534,795,113,12,53.0265121459961,291,52,67,263,12.0666666030884,32.7898559570312,899.105651855469,27.2000007629395,-9.60000038146973,36.8000030517578,0.916666746139526,17.6333332061768
"PI314190",41.78472222,70.26083333,NA,52,7.25,18.1499996185303,-3.88333344459534,795,113,12,53.0265121459961,291,52,67,263,12.0666666030884,32.7898559570312,899.105651855469,27.2000007629395,-9.60000038146973,36.8000030517578,0.916666746139526,17.6333332061768
"PI314191",41.78472222,70.26083333,NA,53,7.25,18.1499996185303,-3.88333344459534,795,113,12,53.0265121459961,291,52,67,263,12.0666666030884,32.7898559570312,899.105651855469,27.2000007629395,-9.60000038146973,36.8000030517578,0.916666746139526,17.6333332061768
"PI314192",41.33722222,70.52388889,NA,54,1.25416672229767,12.2333335876465,-9.94999980926514,610,88,17,42.2586364746094,235,66,66,159,12.3583335876465,32.1831588745117,928.996215820312,22.2000007629395,-16.2000007629395,38.4000015258789,-0.550000011920929,12.2333335876465
"PI314193",42.33722222,71.52388889,NA,55,0.295833259820938,11.1666669845581,-11.3166666030884,531,72,22,35.1213111877441,195,79,109,119,14.2083330154419,34.824348449707,954.685729980469,21.7999992370605,-19,40.7999992370605,-1.43333327770233,11.1333332061768
"PI314610",NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI315065",NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI315067",NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI315353",NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI315354",NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI315355",44.66805556,43.52027778,NA,61,9.8541669845581,22.2999992370605,-2.54999995231628,460,70,19,40.4510231018066,179,63,173,66,10.3083333969116,27.6362819671631,1009.0126953125,30.5,-6.80000019073486,37.2999992370605,19.8833332061768,-1.38333332538605
"PI316122",NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI317404",35.20777778,62.32916667,NA,63,15.3541669845581,26.9833335876465,4.15000009536743,338,83,0,100.989097595215,202,2,2,165,15.2083330154419,38.1161231994629,921.060302734375,37.2000007629395,-2.70000004768372,39.9000015258789,5.30000019073486,26.9833335876465
"PI317406",34.61666667,63.25,NA,64,4.46250009536743,15.6166667938232,-7.76666641235352,340,71,1,95.9219665527344,197,3,4,197,14.4416666030884,36.0141296386719,943.889709472656,24.8999996185303,-15.1999998092651,40.0999984741211,-7.76666641235352,14.4166660308838
"PI318923",NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI325183",44.66805556,43.52027778,NA,66,9.8541669845581,22.2999992370605,-2.54999995231628,460,70,19,40.4510231018066,179,63,173,66,10.3083333969116,27.6362819671631,1009.0126953125,30.5,-6.80000019073486,37.2999992370605,19.8833332061768,-1.38333332538605
"PI325190",43.86361111,42.78722222,NA,67,6.34583330154419,15.5166664123535,-3.03333330154419,653,107,20,57.2731552124023,290,65,281,65,9.57499980926514,32.1308746337891,759.914611816406,21.3999996185303,-8.39999961853027,29.7999992370605,13.7333335876465,-3.03333330154419
"PI325191",43.86361111,42.78722222,NA,68,6.34583330154419,15.5166664123535,-3.03333330154419,653,107,20,57.2731552124023,290,65,281,65,9.57499980926514,32.1308746337891,759.914611816406,21.3999996185303,-8.39999961853027,29.7999992370605,13.7333335876465,-3.03333330154419
"PI326209",50.27277778,87.44194444,NA,69,-5.82083320617676,8.03333282470703,-20.033332824707,437,78,8,67.6741714477539,213,26,213,34,10.9749994277954,26.9656028747559,1149.33666992188,14.8999996185303,-25.7999992370605,40.6999969482422,8.03333282470703,-18.1999988555908
"PI340064",NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI343186",NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI345586",47.83222222,38.44027778,NA,72,9.12083339691162,21.3500003814697,-3.5166666507721,526,60,32,21.3269939422607,165,106,160,136,8.77500057220459,23.9100818634033,1020.30847167969,28.5,-8.19999980926514,36.7000007629395,18.9833335876465,16.5166664123535
"PI369174",54.395,83.33888889,NA,73,1.00833332538605,17.0499992370605,-15.6999998092651,450,64,15,41.3587303161621,179,58,179,75,9.46666622161865,20.8516883850098,1334.16442871094,24.5,-20.8999996185303,45.4000015258789,17.0499992370605,-13.8333330154419
"PI380630",38.4675,45.66944444,NA,74,12.1833333969116,24.1833324432373,-0.73333328962326,257,44,4,57.5528602600098,119,19,32,54,11.6666669845581,29.4612789154053,1010.23474121094,32.7000007629395,-6.90000009536743,39.6000022888184,11.1333332061768,24.0499992370605
"PI380631",37.9675,46.30277778,NA,75,10.2833337783813,22.466667175293,-2.34999990463257,268,49,3,61.656177520752,126,14,25,62,11.2333335876465,29.0267028808594,1009.802734375,30.7999992370605,-7.90000009536743,38.7000007629395,8.86666679382324,22.2666664123535
"PI380632",38.4775,47.07,NA,76,10.7875003814697,21.6666660308838,-0.566666662693024,351,60,9,50.3941268920898,145,35,55,69,11.7916669845581,32.2176704406738,903.345092773438,30,-6.59999990463257,36.5999984741211,9.9166669845581,21.3166656494141
"PI380633",38.4775,47.07,NA,77,10.7875003814697,21.6666660308838,-0.566666662693024,351,60,9,50.3941268920898,145,35,55,69,11.7916669845581,32.2176704406738,903.345092773438,30,-6.59999990463257,36.5999984741211,9.9166669845581,21.3166656494141
"PI380634",38.32527778,47.86833333,NA,78,3.22499990463257,13.5166664123535,-7.13333320617676,410,76,17,55.5490226745605,190,56,76,68,10.8666667938232,31.226053237915,857.574523925781,22,-12.8000001907349,34.7999992370605,1.10000002384186,13.4166669845581
"PI380636",34.18055556,48.18472222,NA,79,12.8958330154419,23.8166675567627,2.28333330154419,377,70,0,80.5012817382812,178,1,6,163,15.3583335876465,39.1794204711914,871.024658203125,34.9000015258789,-4.30000019073486,39.2000007629395,3.13333320617676,23.3833332061768
"PI380637",33.53611111,48.87666667,NA,80,11.5083332061768,22.8500003814697,0.449999958276749,330,62,0,81.0615386962891,161,2,8,145,14.4333333969116,36.6328239440918,907.418518066406,33,-6.40000009536743,39.4000015258789,1.29999995231628,22.3666667938232
"PI380638",NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI380639",34.33,49.33055556,NA,82,11.6541662216187,23.25,0.0166666507720947,274,49,0,76.8236083984375,126,2,9,114,14.2916669845581,35.7291641235352,932.975341796875,33.4000015258789,-6.59999990463257,40,1.19999992847443,22.6333332061768
"PI380640",38.67055556,45.18027778,NA,83,12.6125001907349,24.4500007629395,-0.0833332911133766,246,43,4,55.2294998168945,110,19,32,52,12.1916666030884,31.1011905670166,992.881774902344,33.2000007629395,-6,39.2000007629395,12.0166664123535,24.0666675567627
"PI380641",38.00138889,46.58916667,NA,84,9.3541669845581,21.2666664123535,-3.11666679382324,275,49,4,60.1028099060059,129,17,30,61,11.1416664123535,29.0147552490234,991.661743164062,29.6000003814697,-8.80000019073486,38.4000015258789,8.10000038146973,21.0499992370605
"PI380642",35.73083333,53.56555556,NA,85,12.9666662216187,24.9833335876465,0.400000005960464,178,32,3,61.8720779418945,79,10,13,61,11.3666667938232,29.8337707519531,993.3994140625,32.5999984741211,-5.5,38.0999984741211,6.75,24.1166667938232
