"PI_Accession","Latitude","Longitude","Cultivar_Name","ID","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"PI383575",40.10416667,40.71638889,NA,110,4.95833349227905,16.1833324432373,-7.26666688919067,539,83,18,43.2238540649414,209,64,64,114,11.716667175293,30.2756233215332,959.544982910156,25.6000003814697,-13.1000003814697,38.7000007629395,9.14999961853027,16.1833324432373
"PI383576",40.61555556,43.40583333,NA,111,5.29583311080933,16.6666660308838,-7.41666650772095,447,81,17,52.2177200317383,197,59,106,59,12.4750003814697,31.0323390960693,984.469055175781,26.2999992370605,-13.8999996185303,40.1999969482422,9.78333377838135,-7.41666650772095
"PI383577",39.63166667,44.04361111,NA,112,9.46249961853027,21.1499996185303,-3.0166666507721,334,58,13,46.7847900390625,140,44,71,64,11.4916667938232,29.6942291259766,980.570617675781,29.7999992370605,-8.89999961853027,38.6999969482422,13.783332824707,20.966667175293
"PI383578",39.63166667,44.04361111,NA,113,9.46249961853027,21.1499996185303,-3.0166666507721,334,58,13,46.7847900390625,140,44,71,64,11.4916667938232,29.6942291259766,980.570617675781,29.7999992370605,-8.89999961853027,38.6999969482422,13.783332824707,20.966667175293
"PI401014",41.44916667,31.87805556,NA,114,11.5958337783813,19,4.34999990463257,849,114,54,27.1955623626709,289,164,164,276,7.77500009536743,32.805908203125,607.358154296875,24.1000003814697,0.400000005960464,23.7000007629395,6,19
"PI401015",41.745,35.09361111,NA,115,11.1416664123535,18.966667175293,3.56666660308838,675,82,33,25.8129272460938,228,121,121,200,7.86666631698608,32.1088409423828,637.897216796875,24.5,0,24.5,8.55000019073486,18.966667175293
"PI401016",41.02361111,41.7175,NA,116,8.07083320617676,17.5666656494141,-2.11666655540466,760,85,48,19.1907062530518,225,154,163,173,10.2416667938232,31.6100826263428,807.289123535156,25.2999992370605,-7.09999990463257,32.3999977111816,11.6833333969116,-1.14999997615814
"PI401017",40.60805556,43.0975,NA,117,5.19999980926514,16.4833335876465,-7.86666679382324,456,79,19,49.0419845581055,195,64,150,64,13.25,31.9277114868164,995.163269042969,26.3999996185303,-15.1000003814697,41.5,9.9166669845581,-7.86666679382324
"PI401018",40.60805556,43.0975,NA,118,5.19999980926514,16.4833335876465,-7.86666679382324,456,79,19,49.0419845581055,195,64,150,64,13.25,31.9277114868164,995.163269042969,26.3999996185303,-15.1000003814697,41.5,9.9166669845581,-7.86666679382324
"PI401019",39.94416667,32.78888889,NA,119,11.2333335876465,21.466667175293,0.916666626930237,388,50,10,39.8884811401367,129,38,57,125,12.4166669845581,35.8863182067871,836.859191894531,30.1000003814697,-4.5,34.5999984741211,10.4833335876465,21.0166664123535
"PI401020",39.78027778,30.50805556,NA,120,10.9958333969116,20.3833332061768,1.33333325386047,435,55,11,39.2905464172363,143,44,69,143,11.6416664123535,36.3802070617676,774.70068359375,28.5,-3.5,32,1.33333325386047,19.8999996185303
"PI401021",39.78027778,30.50805556,NA,121,10.9958333969116,20.3833332061768,1.33333325386047,435,55,11,39.2905464172363,143,44,69,143,11.6416664123535,36.3802070617676,774.70068359375,28.5,-3.5,32,1.33333325386047,19.8999996185303
"PI401023",45.14916667,39.58055556,NA,122,11.1625003814697,21.9500007629395,0.0666666626930237,773,84,50,17.6409397125244,236,163,197,210,9.35833358764648,28.4447822570801,889.898193359375,28.5,-4.40000009536743,32.9000015258789,1.83333337306976,5.68333292007446
"PI401121",36.64583333,51.40694444,NA,123,15.8958330154419,24.4333343505859,7.90000009536743,1172,226,30,62.1780166625977,543,118,236,264,7.27500009536743,28.529411315918,692.953063964844,29.5,4,25.5,17.783332824707,21.7000007629395
"PI401125",32.58777778,51.95611111,NA,124,15.8374996185303,26.8500003814697,4.61666679382324,136,27,0,80.5139846801758,69,2,3,65,14.875,37.7538070678711,898.3017578125,36.5999984741211,-2.79999995231628,39.3999977111816,6.08333349227905,26.1666660308838
"PI401126",34.31416667,47.065,NA,125,14.2166662216187,25.5,3.13333344459534,512,99,1,81.6952743530273,242,3,4,219,15.3999996185303,38.1188125610352,906.856018066406,36.7999992370605,-3.59999990463257,40.3999977111816,4.13333320617676,25.1333332061768
"PI401127",35.31722222,46.99888889,NA,126,12.9499998092651,24.966667175293,1.04999995231628,529,97,1,78.6526031494141,244,3,5,212,15.1166667938232,36.2509994506836,965.787475585938,35.9000015258789,-5.80000019073486,41.7000007629395,6.31666660308838,24.5499992370605
"PI401129",35.86638889,47.60861111,NA,127,10.375,22.4166679382324,-1.79999995231628,381,67,1,74.5680084228516,178,5,9,137,13.8833332061768,33.6974105834961,985.770385742188,32.9000015258789,-8.30000019073486,41.2000007629395,3.36666679382324,22.0166664123535
"PI401130",36.08833333,52.15194444,NA,128,11.7958335876465,23,0.183333322405815,255,43,5,54.0728530883789,103,18,21,85,10.7416667938232,29.9210777282715,928.004821777344,30.2999992370605,-5.59999990463257,35.8999977111816,5.71666669845581,22.466667175293
"PI401131",36.08833333,52.15194444,NA,129,11.7958335876465,23,0.183333322405815,255,43,5,54.0728530883789,103,18,21,85,10.7416667938232,29.9210777282715,928.004821777344,30.2999992370605,-5.59999990463257,35.8999977111816,5.71666669845581,22.466667175293
"PI401132",35.83833333,51.05361111,NA,130,14.2916669845581,26.1333332061768,1.96666657924652,253,47,2,68.9583969116211,114,7,10,101,11.5,30.1047115325928,976.021240234375,34.4000015258789,-3.79999995231628,38.2000007629395,3.46666669845581,25.4166679382324
"PI401133",35.83833333,51.05361111,NA,131,14.2916669845581,26.1333332061768,1.96666657924652,253,47,2,68.9583969116211,114,7,10,101,11.5,30.1047115325928,976.021240234375,34.4000015258789,-3.79999995231628,38.2000007629395,3.46666669845581,25.4166679382324
"PI401134",35.70111111,51.42944444,NA,132,16.6458339691162,28.2999992370605,4.76666688919067,252,43,2,69.8823776245117,117,7,10,110,9.77500057220459,27.3809509277344,951.750671386719,35.4000015258789,-0.300000011920929,35.7000007629395,6.25,27.3999996185303
"PI401135",35.70111111,51.42944444,NA,133,16.6458339691162,28.2999992370605,4.76666688919067,252,43,2,69.8823776245117,117,7,10,110,9.77500057220459,27.3809509277344,951.750671386719,35.4000015258789,-0.300000011920929,35.7000007629395,6.25,27.3999996185303
"PI401136",35.70111111,51.42944444,NA,134,16.6458339691162,28.2999992370605,4.76666688919067,252,43,2,69.8823776245117,117,7,10,110,9.77500057220459,27.3809509277344,951.750671386719,35.4000015258789,-0.300000011920929,35.7000007629395,6.25,27.3999996185303
"PI401137",34.08166667,49.70166667,NA,135,13.7291669845581,25.8500003814697,1.08333337306976,293,52,0,76.7228393554688,135,3,6,128,12.9749994277954,31.8796062469482,991.863403320312,35.2999992370605,-5.40000009536743,40.7000007629395,2.84999990463257,25.0833320617676
"PI401138",34.08166667,49.70166667,NA,136,13.7291669845581,25.8500003814697,1.08333337306976,293,52,0,76.7228393554688,135,3,6,128,12.9749994277954,31.8796062469482,991.863403320312,35.2999992370605,-5.40000009536743,40.7000007629395,2.84999990463257,25.0833320617676
"PI401139",34.08166667,49.70166667,NA,137,13.7291669845581,25.8500003814697,1.08333337306976,293,52,0,76.7228393554688,135,3,6,128,12.9749994277954,31.8796062469482,991.863403320312,35.2999992370605,-5.40000009536743,40.7000007629395,2.84999990463257,25.0833320617676
"PI401140",34.08166667,49.70166667,NA,138,13.7291669845581,25.8500003814697,1.08333337306976,293,52,0,76.7228393554688,135,3,6,128,12.9749994277954,31.8796062469482,991.863403320312,35.2999992370605,-5.40000009536743,40.7000007629395,2.84999990463257,25.0833320617676
"PI401141",33.48777778,48.35555556,NA,139,19.0583324432373,30.0499992370605,8.23333358764648,471,86,0,86.9734573364258,233,0,2,229,15.7333335876465,39.932315826416,886.517272949219,40.9000015258789,1.5,39.4000015258789,9.39999961853027,29.4500007629395
"PI401142",33.48777778,48.35555556,NA,140,19.0583324432373,30.0499992370605,8.23333358764648,471,86,0,86.9734573364258,233,0,2,229,15.7333335876465,39.932315826416,886.517272949219,40.9000015258789,1.5,39.4000015258789,9.39999961853027,29.4500007629395
"PI401143",33.48777778,48.35555556,NA,141,19.0583324432373,30.0499992370605,8.23333358764648,471,86,0,86.9734573364258,233,0,2,229,15.7333335876465,39.932315826416,886.517272949219,40.9000015258789,1.5,39.4000015258789,9.39999961853027,29.4500007629395
"PI401145",35.7625,51.9625,NA,142,11.5374994277954,23.6499996185303,-1.01666665077209,207,40,2,67.3579635620117,96,8,12,74,11.4583330154419,29.608097076416,996.779174804688,31.7999992370605,-6.90000009536743,38.7000007629395,5.08333301544189,22.9333324432373
"PI401147",35.7625,51.9625,NA,143,11.5374994277954,23.6499996185303,-1.01666665077209,207,40,2,67.3579635620117,96,8,12,74,11.4583330154419,29.608097076416,996.779174804688,31.7999992370605,-6.90000009536743,38.7000007629395,5.08333301544189,22.9333324432373
"PI401149",37.15,54.88333333,NA,144,17.625,27.2999992370605,8.0833330154419,367,59,6,54.6985244750977,154,22,34,133,11.1166667938232,35.4033966064453,801.525512695312,34.0999984741211,2.70000004768372,31.3999977111816,8.46666622161865,27.2333335876465
"PI401150",37.47777778,57.32333333,NA,145,13.2250003814697,24.4333324432373,1.91666674613953,341,55,9,53.0901298522949,142,30,33,115,12.5666666030884,33.9639663696289,910.358276367188,32.5999984741211,-4.40000009536743,37,7.40000009536743,23.5999984741211
"PI401151",37.33916667,56.25694444,NA,146,12.966667175293,23.6166667938232,1.98333323001862,295,53,5,65.1184387207031,136,19,21,106,12.75,35.8146057128906,875.568237304688,31.6000003814697,-4,35.5999984741211,7.18333339691162,23.033332824707
"PI401152",37.33916667,56.25694444,NA,147,12.966667175293,23.6166667938232,1.98333323001862,295,53,5,65.1184387207031,136,19,21,106,12.75,35.8146057128906,875.568237304688,31.6000003814697,-4,35.5999984741211,7.18333339691162,23.033332824707
"PI401153",36.41805556,54.97638889,NA,148,14.4375,25.6166667938232,2.56666684150696,184,35,2,68.8399200439453,86,8,11,66,11.6583337783813,32.2945518493652,930.137145996094,33,-3.09999990463257,36.0999984741211,14.1999998092651,24.7666664123535
"PI401154",36.41805556,54.97638889,NA,149,14.4375,25.6166667938232,2.56666684150696,184,35,2,68.8399200439453,86,8,11,66,11.6583337783813,32.2945518493652,930.137145996094,33,-3.09999990463257,36.0999984741211,14.1999998092651,24.7666664123535
"PI401155",36.41805556,54.97638889,NA,150,14.4375,25.6166667938232,2.56666684150696,184,35,2,68.8399200439453,86,8,11,66,11.6583337783813,32.2945518493652,930.137145996094,33,-3.09999990463257,36.0999984741211,14.1999998092651,24.7666664123535
"PI401156",36.41805556,54.97638889,NA,151,14.4375,25.6166667938232,2.56666684150696,184,35,2,68.8399200439453,86,8,11,66,11.6583337783813,32.2945518493652,930.137145996094,33,-3.09999990463257,36.0999984741211,14.1999998092651,24.7666664123535
"PI401157",36.41805556,54.97638889,NA,152,14.4375,25.6166667938232,2.56666684150696,184,35,2,68.8399200439453,86,8,11,66,11.6583337783813,32.2945518493652,930.137145996094,33,-3.09999990463257,36.0999984741211,14.1999998092651,24.7666664123535
"PI401158",35.82694444,50.98027778,NA,153,14.9333333969116,26.5166664123535,2.90000009536743,283,49,3,66.1497955322266,124,10,13,114,11.0500001907349,29.7042999267578,954.387817382812,34.5,-2.70000004768372,37.2000007629395,4.36666679382324,25.7999992370605
"PI401159",35.82694444,50.98027778,NA,154,14.9333333969116,26.5166664123535,2.90000009536743,283,49,3,66.1497955322266,124,10,13,114,11.0500001907349,29.7042999267578,954.387817382812,34.5,-2.70000004768372,37.2000007629395,4.36666679382324,25.7999992370605
"PI401160",35.82694444,50.98027778,NA,155,14.9333333969116,26.5166664123535,2.90000009536743,283,49,3,66.1497955322266,124,10,13,114,11.0500001907349,29.7042999267578,954.387817382812,34.5,-2.70000004768372,37.2000007629395,4.36666679382324,25.7999992370605
"PI401161",35.82694444,50.98027778,NA,156,14.9333333969116,26.5166664123535,2.90000009536743,283,49,3,66.1497955322266,124,10,13,114,11.0500001907349,29.7042999267578,954.387817382812,34.5,-2.70000004768372,37.2000007629395,4.36666679382324,25.7999992370605
"PI401162",35.82694444,50.98027778,NA,157,14.9333333969116,26.5166664123535,2.90000009536743,283,49,3,66.1497955322266,124,10,13,114,11.0500001907349,29.7042999267578,954.387817382812,34.5,-2.70000004768372,37.2000007629395,4.36666679382324,25.7999992370605
"PI401164",35.7625,51.9625,NA,158,11.5374994277954,23.6499996185303,-1.01666665077209,207,40,2,67.3579635620117,96,8,12,74,11.4583330154419,29.608097076416,996.779174804688,31.7999992370605,-6.90000009536743,38.7000007629395,5.08333301544189,22.9333324432373
"PI401165",35.5725,53.39861111,NA,159,18.0416660308838,30.3333339691162,5.28333330154419,239,34,5,50.9422264099121,96,19,19,90,11.283332824707,29.4603996276855,1013.60034179688,37.7000007629395,-0.600000023841858,38.2999992370605,6.93333292007446,30.3333339691162
"PI401166",35.5725,53.39861111,NA,160,18.0416660308838,30.3333339691162,5.28333330154419,239,34,5,50.9422264099121,96,19,19,90,11.283332824707,29.4603996276855,1013.60034179688,37.7000007629395,-0.600000023841858,38.2999992370605,6.93333292007446,30.3333339691162
"PI401167",38.06666667,46.3,NA,161,12.3291664123535,24.6499996185303,-0.433333337306976,278,48,3,58.4348907470703,126,15,28,66,10.875,28.1735744476318,1018.78375244141,32.7000007629395,-5.90000009536743,38.6000022888184,11.0666666030884,24.3500003814697
"PI401168",38.55027778,44.95222222,NA,162,11.7875003814697,23,-0.283333271741867,313,56,6,57.7284927368164,145,25,42,66,12.0416669845581,32.1111106872559,938.051940917969,31.2999992370605,-6.19999980926514,37.5,11.3666667938232,22.5666675567627
"PI401169",38.38333333,46.3,NA,163,8.6458330154419,20.783332824707,-4.09999990463257,304,52,5,57.3252716064453,140,22,22,63,10.8916664123535,28.1438407897949,1016.20385742188,29.1000003814697,-9.60000038146973,38.7000007629395,7.05000019073486,20.783332824707
"PI401170",38.4775,47.07,NA,164,10.7875003814697,21.6666660308838,-0.566666662693024,351,60,9,50.3941268920898,145,35,55,69,11.7916669845581,32.2176704406738,903.345092773438,30,-6.59999990463257,36.5999984741211,9.9166669845581,21.3166656494141
"PI401171",38.4775,47.07,NA,165,10.7875003814697,21.6666660308838,-0.566666662693024,351,60,9,50.3941268920898,145,35,55,69,11.7916669845581,32.2176704406738,903.345092773438,30,-6.59999990463257,36.5999984741211,9.9166669845581,21.3166656494141
"PI401172",38.25,47.92,NA,166,1.01666676998138,11.5666666030884,-9.43333339691162,453,83,18,55.959228515625,210,61,61,108,10.6333332061768,30.380952835083,870.457885742188,20.1000003814697,-14.8999996185303,35,-1.69999992847443,11.5666666030884
"PI401173",38.25,47.92,NA,167,1.01666676998138,11.5666666030884,-9.43333339691162,453,83,18,55.959228515625,210,61,61,108,10.6333332061768,30.380952835083,870.457885742188,20.1000003814697,-14.8999996185303,35,-1.69999992847443,11.5666666030884
"PI401174",36.08805556,52.15166667,NA,168,11.7958335876465,23,0.183333322405815,255,43,5,54.0728530883789,103,18,21,85,10.7416667938232,29.9210777282715,928.004821777344,30.2999992370605,-5.59999990463257,35.8999977111816,5.71666669845581,22.466667175293
"PI401175",36.08805556,52.15166667,NA,169,11.7958335876465,23,0.183333322405815,255,43,5,54.0728530883789,103,18,21,85,10.7416667938232,29.9210777282715,928.004821777344,30.2999992370605,-5.59999990463257,35.8999977111816,5.71666669845581,22.466667175293
"PI401176",36.28416667,51.23333333,NA,170,11.3958330154419,21.9500007629395,0.416666746139526,312,51,6,53.3454895019531,124,22,25,103,9.82499980926514,29.2410717010498,875.295959472656,28.8999996185303,-4.69999980926514,33.5999984741211,5.46666669845581,21.533332824707
"PI401177",36.24388889,57.97583333,NA,171,15.7875003814697,27.25,3.84999990463257,250,49,1,79.6863632202148,130,6,9,116,13.4916667938232,35.0432929992676,948.276245117188,35.5999984741211,-2.90000009536743,38.5,5.34999990463257,26.3166675567627
"PI401178",33.75777778,50.29166667,NA,172,12.9708337783813,23.8000011444092,2.09999990463257,193,35,0,78.5928955078125,99,3,3,90,14.1583337783813,36.966926574707,883.336791992188,34,-4.30000019073486,38.2999992370605,3.18333315849304,23.8000011444092
"PI401179",34.24416667,46.69166667,NA,173,13.5333337783813,24.7999992370605,2.54999995231628,525,103,1,85.1411056518555,264,3,3,239,14.0833330154419,36.3910446166992,906.963806152344,35.0999984741211,-3.59999990463257,38.6999969482422,3.29999995231628,24.7999992370605
"PI401180",34.78861111,46.975,NA,174,13.5208330154419,25.5166664123535,1.85000014305115,517,100,1,81.8720932006836,251,3,4,222,15.7749996185303,37.4703102111816,960.971252441406,37,-5.09999990463257,42.0999984741211,2.75,25.1666679382324
"PI401181",35.68444444,47.10722222,NA,175,9.27916622161865,21.3833332061768,-2.95000004768372,444,83,1,76.6163024902344,207,4,7,166,14.2583332061768,34.1926460266113,992.245971679688,32.2999992370605,-9.39999961853027,41.6999969482422,2.04999995231628,21.1166667938232
"PI401182",35.68444444,47.10722222,NA,176,9.27916622161865,21.3833332061768,-2.95000004768372,444,83,1,76.6163024902344,207,4,7,166,14.2583332061768,34.1926460266113,992.245971679688,32.2999992370605,-9.39999961853027,41.6999969482422,2.04999995231628,21.1166667938232
"PI401183",36.19861111,46.3475,NA,177,11.1499996185303,22.75,-1.08333337306976,533,96,1,77.0067672729492,244,5,8,209,14.8500003814697,36.0436897277832,963.39599609375,33.7999992370605,-7.40000009536743,41.2000007629395,4.69999980926514,22.5499992370605
"PI401185",36.31444444,49.05861111,NA,178,11.2749996185303,21.8999996185303,0.316666603088379,303,55,3,71.3274917602539,142,11,14,102,14.1666669845581,37.7777786254883,876.660766601562,31.7000007629395,-5.80000019073486,37.5,9.60000038146973,21.3500003814697
"PI401186",36.31444444,49.05861111,NA,179,11.2749996185303,21.8999996185303,0.316666603088379,303,55,3,71.3274917602539,142,11,14,102,14.1666669845581,37.7777786254883,876.660766601562,31.7000007629395,-5.80000019073486,37.5,9.60000038146973,21.3500003814697
"PI401187",36.59027778,49.98916667,NA,180,14.7666664123535,24.8666667938232,4.78333330154419,456,67,10,55.5453948974609,173,31,31,159,12.1999998092651,35.8823547363281,822.994323730469,33.5,-0.5,34,6.83333349227905,24.8666667938232
"PI401188",36.59027778,49.98916667,NA,181,14.7666664123535,24.8666667938232,4.78333330154419,456,67,10,55.5453948974609,173,31,31,159,12.1999998092651,35.8823547363281,822.994323730469,33.5,-0.5,34,6.83333349227905,24.8666667938232
"PI401189",36.06111111,51.24222222,NA,182,5.0625,16.9500007629395,-7.01666688919067,257,51,2,73.4850082397461,136,14,21,70,11.2416667938232,29.505687713623,975.080688476562,25.2999992370605,-12.8000001907349,38.0999984741211,3.53333330154419,16.4833335876465
"PI401190",35.99833333,51.48138889,NA,183,8.61666679382324,20.6499996185303,-3.96666669845581,241,47,2,68.7474365234375,116,10,15,75,11.1833333969116,29.1232643127441,996.802490234375,28.7999992370605,-9.60000038146973,38.4000015258789,7.56666660308838,20.1000003814697
"PI401191",36.13611111,51.46777778,NA,184,1.67083334922791,13.4833335876465,-10.1666669845581,278,51,2,71.8626556396484,149,20,31,68,11.0916662216187,29.4208679199219,966.430786132812,21.7999992370605,-15.8999996185303,37.6999969482422,0.0333333574235439,13.0666666030884
"PI401192",36.13611111,51.46777778,NA,185,1.67083334922791,13.4833335876465,-10.1666669845581,278,51,2,71.8626556396484,149,20,31,68,11.0916662216187,29.4208679199219,966.430786132812,21.7999992370605,-15.8999996185303,37.6999969482422,0.0333333574235439,13.0666666030884
"PI401193",35.8875,51.86027778,NA,186,7.37916660308838,19.966667175293,-6.01666641235352,218,44,2,71.0803375244141,110,11,16,65,11.158332824707,27.7570476531982,1053.732421875,28.2999992370605,-11.8999996185303,40.1999969482422,6.48333311080933,19.3666667938232
"PI401194",33.68166667,48.68194444,NA,187,12.0416669845581,23.1166667938232,1.28333330154419,342,63,0,80.6401519775391,165,2,9,150,14.8333330154419,38.0341873168945,884.43310546875,33.5,-5.5,39,2.08333325386047,22.6499996185303
"PI401195",33.68166667,48.68194444,NA,188,12.0416669845581,23.1166667938232,1.28333330154419,342,63,0,80.6401519775391,165,2,9,150,14.8333330154419,38.0341873168945,884.43310546875,33.5,-5.5,39,2.08333325386047,22.6499996185303
"PI401196",33.04361111,48.83222222,NA,189,16.8333339691162,28.033332824707,5.58333301544189,389,70,0,89.014762878418,200,2,4,198,14.25,36.6323890686035,913.639892578125,37.9000015258789,-1,38.9000015258789,6.56666660308838,27.5499992370605
"PI401197",32.62,48.87833333,NA,190,21.6124992370605,32.8333320617676,9.9166669845581,425,86,0,99.0391387939453,243,0,1,243,14.7083330154419,37.3307952880859,937.540588378906,42.9000015258789,3.5,39.4000015258789,9.9166669845581,32.3666687011719
"PI401198",32.62,48.87833333,NA,191,21.6124992370605,32.8333320617676,9.9166669845581,425,86,0,99.0391387939453,243,0,1,243,14.7083330154419,37.3307952880859,937.540588378906,42.9000015258789,3.5,39.4000015258789,9.9166669845581,32.3666687011719
"PI401199",33.23694444,48.70333333,NA,192,14.0249996185303,25.1499996185303,3.09999990463257,375,69,0,84.5067901611328,188,2,6,177,14.1000003814697,36.6233749389648,896.060852050781,34.9000015258789,-3.59999990463257,38.5,3.94999980926514,24.6833343505859
"PI401200",33.23694444,48.70333333,NA,193,14.0249996185303,25.1499996185303,3.09999990463257,375,69,0,84.5067901611328,188,2,6,177,14.1000003814697,36.6233749389648,896.060852050781,34.9000015258789,-3.59999990463257,38.5,3.94999980926514,24.6833343505859
"PI401201",33.23694444,48.70333333,NA,194,14.0249996185303,25.1499996185303,3.09999990463257,375,69,0,84.5067901611328,188,2,6,177,14.1000003814697,36.6233749389648,896.060852050781,34.9000015258789,-3.59999990463257,38.5,3.94999980926514,24.6833343505859
"PI401202",33.23694444,48.70333333,NA,195,14.0249996185303,25.1499996185303,3.09999990463257,375,69,0,84.5067901611328,188,2,6,177,14.1000003814697,36.6233749389648,896.060852050781,34.9000015258789,-3.59999990463257,38.5,3.94999980926514,24.6833343505859
"PI401203",33.23694444,48.70333333,NA,196,14.0249996185303,25.1499996185303,3.09999990463257,375,69,0,84.5067901611328,188,2,6,177,14.1000003814697,36.6233749389648,896.060852050781,34.9000015258789,-3.59999990463257,38.5,3.94999980926514,24.6833343505859
"PI401204",33.23694444,48.70333333,NA,197,14.0249996185303,25.1499996185303,3.09999990463257,375,69,0,84.5067901611328,188,2,6,177,14.1000003814697,36.6233749389648,896.060852050781,34.9000015258789,-3.59999990463257,38.5,3.94999980926514,24.6833343505859
"PI401205",34.62,50.87833333,NA,198,17.6333332061768,29.0999984741211,5.75,220,39,1,75.1929779052734,108,3,5,103,11.9499998092651,31.8666667938232,943.548278808594,37.5999984741211,0.100000001490116,37.5,7.31666660308838,28.4833335876465
"PI401206",34.62,50.87833333,NA,199,17.6333332061768,29.0999984741211,5.75,220,39,1,75.1929779052734,108,3,5,103,11.9499998092651,31.8666667938232,943.548278808594,37.5999984741211,0.100000001490116,37.5,7.31666660308838,28.4833335876465
"PI401207",34.62,50.87833333,NA,200,17.6333332061768,29.0999984741211,5.75,220,39,1,75.1929779052734,108,3,5,103,11.9499998092651,31.8666667938232,943.548278808594,37.5999984741211,0.100000001490116,37.5,7.31666660308838,28.4833335876465
"PI401208",34.62,50.87833333,NA,201,17.6333332061768,29.0999984741211,5.75,220,39,1,75.1929779052734,108,3,5,103,11.9499998092651,31.8666667938232,943.548278808594,37.5999984741211,0.100000001490116,37.5,7.31666660308838,28.4833335876465
"PI401209",34.62,50.87833333,NA,202,17.6333332061768,29.0999984741211,5.75,220,39,1,75.1929779052734,108,3,5,103,11.9499998092651,31.8666667938232,943.548278808594,37.5999984741211,0.100000001490116,37.5,7.31666660308838,28.4833335876465
"PI401210",34.62,50.87833333,NA,203,17.6333332061768,29.0999984741211,5.75,220,39,1,75.1929779052734,108,3,5,103,11.9499998092651,31.8666667938232,943.548278808594,37.5999984741211,0.100000001490116,37.5,7.31666660308838,28.4833335876465
"PI401211",34.62,50.87833333,NA,204,17.6333332061768,29.0999984741211,5.75,220,39,1,75.1929779052734,108,3,5,103,11.9499998092651,31.8666667938232,943.548278808594,37.5999984741211,0.100000001490116,37.5,7.31666660308838,28.4833335876465
"PI401212",34.62,50.87833333,NA,205,17.6333332061768,29.0999984741211,5.75,220,39,1,75.1929779052734,108,3,5,103,11.9499998092651,31.8666667938232,943.548278808594,37.5999984741211,0.100000001490116,37.5,7.31666660308838,28.4833335876465
"PI401213",33.95277778,49.06388889,NA,206,10.7749996185303,22.283332824707,-0.649999976158142,288,52,1,77.1303482055664,134,3,10,120,14.9333333969116,36.963695526123,924.936096191406,33,-7.40000009536743,40.4000015258789,0.333333343267441,21.7999992370605
"PI401214",36.13555556,52.30777778,NA,207,15.2541666030884,25.7999992370605,4.58333349227905,361,46,8,47.3710136413574,132,32,32,127,9.90833377838135,30.0252532958984,865.207397460938,32.2999992370605,-0.699999988079071,33,10.716667175293,25.7999992370605
"PI401215",36.13555556,52.30777778,NA,208,15.2541666030884,25.7999992370605,4.58333349227905,361,46,8,47.3710136413574,132,32,32,127,9.90833377838135,30.0252532958984,865.207397460938,32.2999992370605,-0.699999988079071,33,10.716667175293,25.7999992370605
"PI401216",37.19694444,55.57166667,NA,209,14.5874996185303,23.6666660308838,5.2999997138977,312,57,3,68.1100769042969,147,15,18,114,10.3416662216187,34.3576965332031,755.829223632812,30.5,0.400000005960464,30.1000003814697,8.89999961853027,23.6166667938232
"PI401217",37.19694444,55.57166667,NA,210,14.5874996185303,23.6666660308838,5.2999997138977,312,57,3,68.1100769042969,147,15,18,114,10.3416662216187,34.3576965332031,755.829223632812,30.5,0.400000005960464,30.1000003814697,8.89999961853027,23.6166667938232
"PI401218",37.19694444,55.57166667,NA,211,14.5874996185303,23.6666660308838,5.2999997138977,312,57,3,68.1100769042969,147,15,18,114,10.3416662216187,34.3576965332031,755.829223632812,30.5,0.400000005960464,30.1000003814697,8.89999961853027,23.6166667938232
"PI401219",37.19694444,55.57166667,NA,212,14.5874996185303,23.6666660308838,5.2999997138977,312,57,3,68.1100769042969,147,15,18,114,10.3416662216187,34.3576965332031,755.829223632812,30.5,0.400000005960464,30.1000003814697,8.89999961853027,23.6166667938232
"PI401220",37.19694444,55.57166667,NA,213,14.5874996185303,23.6666660308838,5.2999997138977,312,57,3,68.1100769042969,147,15,18,114,10.3416662216187,34.3576965332031,755.829223632812,30.5,0.400000005960464,30.1000003814697,8.89999961853027,23.6166667938232
"PI401221",37.36138889,56.20027778,NA,214,11.9166669845581,22.533332824707,1.03333330154419,278,50,5,65.2318496704102,129,18,22,97,12.5166664123535,35.3578147888184,870.98779296875,30.5,-4.90000009536743,35.4000015258789,6.11666679382324,21.9500007629395
"PI401222",37.36138889,56.20027778,NA,215,11.9166669845581,22.533332824707,1.03333330154419,278,50,5,65.2318496704102,129,18,22,97,12.5166664123535,35.3578147888184,870.98779296875,30.5,-4.90000009536743,35.4000015258789,6.11666679382324,21.9500007629395
"PI401223",37.36138889,56.20027778,NA,216,11.9166669845581,22.533332824707,1.03333330154419,278,50,5,65.2318496704102,129,18,22,97,12.5166664123535,35.3578147888184,870.98779296875,30.5,-4.90000009536743,35.4000015258789,6.11666679382324,21.9500007629395
