PI_Accession,Latitude,Longitude,Cultivar_Name
Amur,NA,NA,Amur
Greenar,NA,NA,Greenar
Manska,NA,NA,Manska
Nebraska50,NA,NA,Nebraka 50
Oahe,NA,NA,Oahe
PI401175,36.08805556,52.15166667,NA
PI401176,36.28416667,51.23333333,NA
PI401177,36.24388889,57.97583333,NA
PI401178,33.75777778,50.29166667,NA
PI401179,34.24416667,46.69166667,NA
PI401180,34.78861111,46.975,NA
PI401181,35.68444444,47.10722222,NA
PI401182,35.68444444,47.10722222,NA
PI401183,36.19861111,46.3475,NA
PI401185,36.31444444,49.05861111,NA
PI401186,36.31444444,49.05861111,NA
PI401187,36.59027778,49.98916667,NA
PI401188,36.59027778,49.98916667,NA
PI401189,36.06111111,51.24222222,NA
PI401190,35.99833333,51.48138889,NA
PI401191,36.13611111,51.46777778,NA
PI401192,36.13611111,51.46777778,NA
PI401193,35.8875,51.86027778,NA
PI401194,33.68166667,48.68194444,NA
PI401195,33.68166667,48.68194444,NA
PI401196,33.04361111,48.83222222,NA
PI401197,32.62,48.87833333,NA
PI401198,32.62,48.87833333,NA
PI401199,33.23694444,48.70333333,NA
PI401200,33.23694444,48.70333333,NA
PI401201,33.23694444,48.70333333,NA
PI401202,33.23694444,48.70333333,NA
PI401203,33.23694444,48.70333333,NA
PI401204,33.23694444,48.70333333,NA
PI401205,34.62,50.87833333,NA
PI401206,34.62,50.87833333,NA
PI401207,34.62,50.87833333,NA
PI401208,34.62,50.87833333,NA
PI401209,34.62,50.87833333,NA
PI401210,34.62,50.87833333,NA
PI401211,34.62,50.87833333,NA
PI401212,34.62,50.87833333,NA
PI401213,33.95277778,49.06388889,NA
PI401214,36.13555556,52.30777778,NA
PI401215,36.13555556,52.30777778,NA
PI401216,37.19694444,55.57166667,NA
PI401217,37.19694444,55.57166667,NA
PI401218,37.19694444,55.57166667,NA
PI401219,37.19694444,55.57166667,NA
PI401220,37.19694444,55.57166667,NA
PI401221,37.36138889,56.20027778,NA
PI401222,37.36138889,56.20027778,NA
PI401223,37.36138889,56.20027778,NA
PI401225,36.98916667,55.06194444,NA
PI401226,36.98916667,55.06194444,NA
PI401227,36.98916667,55.06194444,NA
PI401228,36.98916667,55.06194444,NA
PI401230,36.98916667,55.06194444,NA
PI401231,36.98916667,55.06194444,NA
PI401232,36.21694444,51.29944444,NA
PI401233,36.21694444,51.29944444,NA
PI401234,36.21694444,51.29944444,NA
PI401235,36.21694444,51.29944444,NA
PI401236,36.21694444,51.29944444,NA
PI401237,36.21694444,51.29944444,NA
PI401238,36.21694444,51.29944444,NA
PI401239,36.21694444,51.29944444,NA
PI401240,36.21694444,51.29944444,NA
PI401241,36.21694444,51.29944444,NA
PI401242,35.9775,52.04694444,NA
PI401243,36.33805556,53.34805556,NA
PI401244,38.39305556,47.63583333,NA
PI440001,43.88444444,41.73027778,NA
PI440002,43.88444444,41.73027778,NA
PI440003,44.80916667,42.03333333,NA
PI440004,45.05,41.96666667,NA
PI440005,45.05,41.96666667,NA
PI440006,45.04972222,41.96666667,NA
PI440007,45.04972222,41.96666667,NA
PI440008,45.05444444,41.99361111,NA
PI440009,45.05444444,41.99361111,NA
PI440010,45.05194444,41.97972222,NA
PI440011,45.335,42.85444444,NA
PI440012,44.80916667,42.03333333,NA
PI440013,44.80916667,42.03333333,NA
PI440014,45.02611111,43.7,NA
PI440015,45.08138889,43.04305556,NA
PI440016,45.08138889,43.04305556,NA
PI440017,45.08138889,43.04305556,NA
PI440018,45.08138889,43.04305556,NA
PI440019,44.78361111,45.51888889,NA
PI440021,42.9,71.36666667,NA
PI440022,42.31666667,69.59583333,NA
PI440023,42.35,69.66666667,NA
PI440024,42.31666667,69.59583333,NA
PI440025,42.31666667,69.59583333,NA
PI440026,42.31666667,69.59583333,NA
PI440027,44.69944444,41.89944444,NA
PI440028,44.69944444,41.89944444,NA
PI440029,45.02194444,41.02555556,NA
PI440030,45.02194444,41.02555556,NA
PI440031,45.02194444,41.02555556,NA
PI440032,44.61972222,41.86277778,NA
PI440033,45.095,43.36638889,NA
PI440034,45.095,43.36638889,NA
PI440035,45.095,43.36638889,NA
PI440036,43.10416667,72.9375,NA
PI440037,42.98222222,72.36833333,NA
PI440038,42.98222222,72.36833333,NA
PI440039,43.01888889,71.19138889,NA
PI440040,43.01888889,71.19138889,NA
PI440041,42.57416667,70.56361111,NA
PI440042,42.57416667,70.56361111,NA
PI440043,42.57416667,70.56361111,NA
PI440044,42.57416667,70.56361111,NA
PI440045,42.57416667,70.56361111,NA
PI440046,42.45333333,69.1425,NA
PI440047,42.22777778,68.2925,NA
PI440048,42.22777778,68.2925,NA
PI440049,42.22777778,68.2925,NA
PI440050,42.22777778,68.2925,NA
PI440051,42.22777778,68.2925,NA
PI440052,42.22777778,68.2925,NA
PI440053,42.22777778,68.2925,NA
PI440054,42.22777778,68.2925,NA
PI440055,42.22777778,68.2925,NA
PI440056,41.27083333,68.115,NA
PI440057,41.27083333,68.115,NA
PI442637,38.40722222,27.15027778,NA
PI486197,38.96972222,59.55638889,NA
PI494618,46,25,NA
PI494686,44.18333333,28.65,NA
PI494687,43.8,28.58333333,NA
PI502351,46.30777778,44.25555556,NA
PI502356,45.05,41.96666667,NA
PI531721,36.03972222,103.8697222,NA
PI531722,49.8075,-97.13666667,NA
PI531723,49.8075,-97.13666667,NA
PI531724,55.75222222,37.61555556,NA
PI531725,52.67083333,13.41944444,NA
PI531726,52.17,13.54472222,NA
PI547314,42.31666667,69.59583333,NA
PI547315,60.09277778,23.90805556,NA
PI547316,NA,NA,NA
PI547317,50.45,30.52333333,NA
PI547318,52.68944444,39.24861111,NA
PI547319,60,100,NA
PI547333,35,105,NA
PI547334,51.1,17.03333333,NA
PI547335,50.73611111,15.74027778,NA
PI547336,43.66666667,6.716666667,NA
PI547337,43.56666667,5.016666667,NA
PI547338,43,2.75,NA
PI565004,39.94027778,-1.067777778,NA
PI574518,NA,NA,breeding material
PI578689,NA,NA,NA
PI578695,NA,NA,breeding material
PI578699,NA,NA,cultivar
PI598480,47.41166667,28.37,NA
PI618797,48.13305556,60.26666667,NA
PI619581,38.91666667,68.25,NA
PI634227,NA,NA,NA
PI634290,44.51138889,33.84666667,NA
Reliant,NA,NA,Reliant
Slate,NA,NA,Slate
Tegmar,NA,NA,Tegmar
Topar,NA,NA,Topar
Trigo,NA,NA,Trigo
