<Phenotype>
taxa	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data
Taxa	Latitude	Longitude	wc2.1_30s_bio_1	wc2.1_30s_bio_10	wc2.1_30s_bio_11	wc2.1_30s_bio_12	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_15	wc2.1_30s_bio_16	wc2.1_30s_bio_17	wc2.1_30s_bio_18	wc2.1_30s_bio_19	wc2.1_30s_bio_2	wc2.1_30s_bio_3	wc2.1_30s_bio_4	wc2.1_30s_bio_5	wc2.1_30s_bio_6	wc2.1_30s_bio_7	wc2.1_30s_bio_8	wc2.1_30s_bio_9
PI401143	33.49	48.36	19.06	30.05	8.23	471.0	86.0	0.0	86.97	233.0	0.0	2.0	229.0	15.73	39.93	886.52	40.9	1.5	39.4	9.4	29.45
PI401145	35.76	51.96	11.54	23.65	-1.02	207.0	40.0	2.0	67.36	96.0	8.0	12.0	74.0	11.46	29.61	996.78	31.8	-6.9	38.7	5.08	22.93
PI401147	35.76	51.96	11.54	23.65	-1.02	207.0	40.0	2.0	67.36	96.0	8.0	12.0	74.0	11.46	29.61	996.78	31.8	-6.9	38.7	5.08	22.93
PI401149	37.15	54.88	17.63	27.3	8.08	367.0	59.0	6.0	54.7	154.0	22.0	34.0	133.0	11.12	35.4	801.53	34.1	2.7	31.4	8.47	27.23
PI401150	37.48	57.32	13.23	24.43	1.92	341.0	55.0	9.0	53.09	142.0	30.0	33.0	115.0	12.57	33.96	910.36	32.6	-4.4	37.0	7.4	23.6
PI401151	37.34	56.26	12.97	23.62	1.98	295.0	53.0	5.0	65.12	136.0	19.0	21.0	106.0	12.75	35.81	875.57	31.6	-4.0	35.6	7.18	23.03
PI401152	37.34	56.26	12.97	23.62	1.98	295.0	53.0	5.0	65.12	136.0	19.0	21.0	106.0	12.75	35.81	875.57	31.6	-4.0	35.6	7.18	23.03
PI401153	36.42	54.98	14.44	25.62	2.57	184.0	35.0	2.0	68.84	86.0	8.0	11.0	66.0	11.66	32.29	930.14	33.0	-3.1	36.1	14.2	24.77
PI401154	36.42	54.98	14.44	25.62	2.57	184.0	35.0	2.0	68.84	86.0	8.0	11.0	66.0	11.66	32.29	930.14	33.0	-3.1	36.1	14.2	24.77
PI401155	36.42	54.98	14.44	25.62	2.57	184.0	35.0	2.0	68.84	86.0	8.0	11.0	66.0	11.66	32.29	930.14	33.0	-3.1	36.1	14.2	24.77
PI401156	36.42	54.98	14.44	25.62	2.57	184.0	35.0	2.0	68.84	86.0	8.0	11.0	66.0	11.66	32.29	930.14	33.0	-3.1	36.1	14.2	24.77
PI401157	36.42	54.98	14.44	25.62	2.57	184.0	35.0	2.0	68.84	86.0	8.0	11.0	66.0	11.66	32.29	930.14	33.0	-3.1	36.1	14.2	24.77
PI401158	35.83	50.98	14.93	26.52	2.9	283.0	49.0	3.0	66.15	124.0	10.0	13.0	114.0	11.05	29.7	954.39	34.5	-2.7	37.2	4.37	25.8
PI401159	35.83	50.98	14.93	26.52	2.9	283.0	49.0	3.0	66.15	124.0	10.0	13.0	114.0	11.05	29.7	954.39	34.5	-2.7	37.2	4.37	25.8
PI401160	35.83	50.98	14.93	26.52	2.9	283.0	49.0	3.0	66.15	124.0	10.0	13.0	114.0	11.05	29.7	954.39	34.5	-2.7	37.2	4.37	25.8
PI401161	35.83	50.98	14.93	26.52	2.9	283.0	49.0	3.0	66.15	124.0	10.0	13.0	114.0	11.05	29.7	954.39	34.5	-2.7	37.2	4.37	25.8
PI401162	35.83	50.98	14.93	26.52	2.9	283.0	49.0	3.0	66.15	124.0	10.0	13.0	114.0	11.05	29.7	954.39	34.5	-2.7	37.2	4.37	25.8
PI401164	35.76	51.96	11.54	23.65	-1.02	207.0	40.0	2.0	67.36	96.0	8.0	12.0	74.0	11.46	29.61	996.78	31.8	-6.9	38.7	5.08	22.93
PI401165	35.57	53.4	18.04	30.33	5.28	239.0	34.0	5.0	50.94	96.0	19.0	19.0	90.0	11.28	29.46	1013.6	37.7	-0.6	38.3	6.93	30.33
PI401166	35.57	53.4	18.04	30.33	5.28	239.0	34.0	5.0	50.94	96.0	19.0	19.0	90.0	11.28	29.46	1013.6	37.7	-0.6	38.3	6.93	30.33
PI401167	38.07	46.3	12.33	24.65	-0.43	278.0	48.0	3.0	58.43	126.0	15.0	28.0	66.0	10.88	28.17	1018.78	32.7	-5.9	38.6	11.07	24.35
PI401168	38.55	44.95	11.79	23.0	-0.28	313.0	56.0	6.0	57.73	145.0	25.0	42.0	66.0	12.04	32.11	938.05	31.3	-6.2	37.5	11.37	22.57
PI401169	38.38	46.3	8.65	20.78	-4.1	304.0	52.0	5.0	57.33	140.0	22.0	22.0	63.0	10.89	28.14	1016.2	29.1	-9.6	38.7	7.05	20.78
PI401170	38.48	47.07	10.79	21.67	-0.57	351.0	60.0	9.0	50.39	145.0	35.0	55.0	69.0	11.79	32.22	903.35	30.0	-6.6	36.6	9.92	21.32
PI401171	38.48	47.07	10.79	21.67	-0.57	351.0	60.0	9.0	50.39	145.0	35.0	55.0	69.0	11.79	32.22	903.35	30.0	-6.6	36.6	9.92	21.32
PI401172	38.25	47.92	1.02	11.57	-9.43	453.0	83.0	18.0	55.96	210.0	61.0	61.0	108.0	10.63	30.38	870.46	20.1	-14.9	35.0	-1.7	11.57
PI401173	38.25	47.92	1.02	11.57	-9.43	453.0	83.0	18.0	55.96	210.0	61.0	61.0	108.0	10.63	30.38	870.46	20.1	-14.9	35.0	-1.7	11.57
PI401174	36.09	52.15	11.8	23.0	0.18	255.0	43.0	5.0	54.07	103.0	18.0	21.0	85.0	10.74	29.92	928.0	30.3	-5.6	35.9	5.72	22.47
PI401175	36.09	52.15	11.8	23.0	0.18	255.0	43.0	5.0	54.07	103.0	18.0	21.0	85.0	10.74	29.92	928.0	30.3	-5.6	35.9	5.72	22.47
PI401176	36.28	51.23	11.4	21.95	0.42	312.0	51.0	6.0	53.35	124.0	22.0	25.0	103.0	9.82	29.24	875.3	28.9	-4.7	33.6	5.47	21.53
PI401177	36.24	57.98	15.79	27.25	3.85	250.0	49.0	1.0	79.69	130.0	6.0	9.0	116.0	13.49	35.04	948.28	35.6	-2.9	38.5	5.35	26.32
PI401178	33.76	50.29	12.97	23.8	2.1	193.0	35.0	0.0	78.59	99.0	3.0	3.0	90.0	14.16	36.97	883.34	34.0	-4.3	38.3	3.18	23.8
PI401179	34.24	46.69	13.53	24.8	2.55	525.0	103.0	1.0	85.14	264.0	3.0	3.0	239.0	14.08	36.39	906.96	35.1	-3.6	38.7	3.3	24.8
PI401180	34.79	46.98	13.52	25.52	1.85	517.0	100.0	1.0	81.87	251.0	3.0	4.0	222.0	15.77	37.47	960.97	37.0	-5.1	42.1	2.75	25.17
PI401181	35.68	47.11	9.28	21.38	-2.95	444.0	83.0	1.0	76.62	207.0	4.0	7.0	166.0	14.26	34.19	992.25	32.3	-9.4	41.7	2.05	21.12
PI401182	35.68	47.11	9.28	21.38	-2.95	444.0	83.0	1.0	76.62	207.0	4.0	7.0	166.0	14.26	34.19	992.25	32.3	-9.4	41.7	2.05	21.12
PI401183	36.2	46.35	11.15	22.75	-1.08	533.0	96.0	1.0	77.01	244.0	5.0	8.0	209.0	14.85	36.04	963.4	33.8	-7.4	41.2	4.7	22.55
PI401185	36.31	49.06	11.27	21.9	0.32	303.0	55.0	3.0	71.33	142.0	11.0	14.0	102.0	14.17	37.78	876.66	31.7	-5.8	37.5	9.6	21.35
PI401186	36.31	49.06	11.27	21.9	0.32	303.0	55.0	3.0	71.33	142.0	11.0	14.0	102.0	14.17	37.78	876.66	31.7	-5.8	37.5	9.6	21.35
PI401187	36.59	49.99	14.77	24.87	4.78	456.0	67.0	10.0	55.55	173.0	31.0	31.0	159.0	12.2	35.88	822.99	33.5	-0.5	34.0	6.83	24.87
PI401188	36.59	49.99	14.77	24.87	4.78	456.0	67.0	10.0	55.55	173.0	31.0	31.0	159.0	12.2	35.88	822.99	33.5	-0.5	34.0	6.83	24.87
PI401189	36.06	51.24	5.06	16.95	-7.02	257.0	51.0	2.0	73.49	136.0	14.0	21.0	70.0	11.24	29.51	975.08	25.3	-12.8	38.1	3.53	16.48
PI401190	36.0	51.48	8.62	20.65	-3.97	241.0	47.0	2.0	68.75	116.0	10.0	15.0	75.0	11.18	29.12	996.8	28.8	-9.6	38.4	7.57	20.1
PI401191	36.14	51.47	1.67	13.48	-10.17	278.0	51.0	2.0	71.86	149.0	20.0	31.0	68.0	11.09	29.42	966.43	21.8	-15.9	37.7	0.03	13.07
PI401192	36.14	51.47	1.67	13.48	-10.17	278.0	51.0	2.0	71.86	149.0	20.0	31.0	68.0	11.09	29.42	966.43	21.8	-15.9	37.7	0.03	13.07
PI401193	35.89	51.86	7.38	19.97	-6.02	218.0	44.0	2.0	71.08	110.0	11.0	16.0	65.0	11.16	27.76	1053.73	28.3	-11.9	40.2	6.48	19.37
PI401194	33.68	48.68	12.04	23.12	1.28	342.0	63.0	0.0	80.64	165.0	2.0	9.0	150.0	14.83	38.03	884.43	33.5	-5.5	39.0	2.08	22.65
PI401195	33.68	48.68	12.04	23.12	1.28	342.0	63.0	0.0	80.64	165.0	2.0	9.0	150.0	14.83	38.03	884.43	33.5	-5.5	39.0	2.08	22.65
PI401196	33.04	48.83	16.83	28.03	5.58	389.0	70.0	0.0	89.01	200.0	2.0	4.0	198.0	14.25	36.63	913.64	37.9	-1.0	38.9	6.57	27.55
PI401197	32.62	48.88	21.61	32.83	9.92	425.0	86.0	0.0	99.04	243.0	0.0	1.0	243.0	14.71	37.33	937.54	42.9	3.5	39.4	9.92	32.37
PI401198	32.62	48.88	21.61	32.83	9.92	425.0	86.0	0.0	99.04	243.0	0.0	1.0	243.0	14.71	37.33	937.54	42.9	3.5	39.4	9.92	32.37
PI401199	33.24	48.7	14.02	25.15	3.1	375.0	69.0	0.0	84.51	188.0	2.0	6.0	177.0	14.1	36.62	896.06	34.9	-3.6	38.5	3.95	24.68
PI401200	33.24	48.7	14.02	25.15	3.1	375.0	69.0	0.0	84.51	188.0	2.0	6.0	177.0	14.1	36.62	896.06	34.9	-3.6	38.5	3.95	24.68
PI401201	33.24	48.7	14.02	25.15	3.1	375.0	69.0	0.0	84.51	188.0	2.0	6.0	177.0	14.1	36.62	896.06	34.9	-3.6	38.5	3.95	24.68
PI401202	33.24	48.7	14.02	25.15	3.1	375.0	69.0	0.0	84.51	188.0	2.0	6.0	177.0	14.1	36.62	896.06	34.9	-3.6	38.5	3.95	24.68
PI401203	33.24	48.7	14.02	25.15	3.1	375.0	69.0	0.0	84.51	188.0	2.0	6.0	177.0	14.1	36.62	896.06	34.9	-3.6	38.5	3.95	24.68
PI401204	33.24	48.7	14.02	25.15	3.1	375.0	69.0	0.0	84.51	188.0	2.0	6.0	177.0	14.1	36.62	896.06	34.9	-3.6	38.5	3.95	24.68
PI401205	34.62	50.88	17.63	29.1	5.75	220.0	39.0	1.0	75.19	108.0	3.0	5.0	103.0	11.95	31.87	943.55	37.6	0.1	37.5	7.32	28.48
PI401206	34.62	50.88	17.63	29.1	5.75	220.0	39.0	1.0	75.19	108.0	3.0	5.0	103.0	11.95	31.87	943.55	37.6	0.1	37.5	7.32	28.48
PI401207	34.62	50.88	17.63	29.1	5.75	220.0	39.0	1.0	75.19	108.0	3.0	5.0	103.0	11.95	31.87	943.55	37.6	0.1	37.5	7.32	28.48
PI401208	34.62	50.88	17.63	29.1	5.75	220.0	39.0	1.0	75.19	108.0	3.0	5.0	103.0	11.95	31.87	943.55	37.6	0.1	37.5	7.32	28.48
PI401209	34.62	50.88	17.63	29.1	5.75	220.0	39.0	1.0	75.19	108.0	3.0	5.0	103.0	11.95	31.87	943.55	37.6	0.1	37.5	7.32	28.48
PI401210	34.62	50.88	17.63	29.1	5.75	220.0	39.0	1.0	75.19	108.0	3.0	5.0	103.0	11.95	31.87	943.55	37.6	0.1	37.5	7.32	28.48
PI401211	34.62	50.88	17.63	29.1	5.75	220.0	39.0	1.0	75.19	108.0	3.0	5.0	103.0	11.95	31.87	943.55	37.6	0.1	37.5	7.32	28.48
PI401212	34.62	50.88	17.63	29.1	5.75	220.0	39.0	1.0	75.19	108.0	3.0	5.0	103.0	11.95	31.87	943.55	37.6	0.1	37.5	7.32	28.48
PI401213	33.95	49.06	10.77	22.28	-0.65	288.0	52.0	1.0	77.13	134.0	3.0	10.0	120.0	14.93	36.96	924.94	33.0	-7.4	40.4	0.33	21.8
PI401214	36.14	52.31	15.25	25.8	4.58	361.0	46.0	8.0	47.37	132.0	32.0	32.0	127.0	9.91	30.03	865.21	32.3	-0.7	33.0	10.72	25.8
PI401215	36.14	52.31	15.25	25.8	4.58	361.0	46.0	8.0	47.37	132.0	32.0	32.0	127.0	9.91	30.03	865.21	32.3	-0.7	33.0	10.72	25.8
PI401216	37.2	55.57	14.59	23.67	5.3	312.0	57.0	3.0	68.11	147.0	15.0	18.0	114.0	10.34	34.36	755.83	30.5	0.4	30.1	8.9	23.62
PI401217	37.2	55.57	14.59	23.67	5.3	312.0	57.0	3.0	68.11	147.0	15.0	18.0	114.0	10.34	34.36	755.83	30.5	0.4	30.1	8.9	23.62
PI401218	37.2	55.57	14.59	23.67	5.3	312.0	57.0	3.0	68.11	147.0	15.0	18.0	114.0	10.34	34.36	755.83	30.5	0.4	30.1	8.9	23.62
PI401219	37.2	55.57	14.59	23.67	5.3	312.0	57.0	3.0	68.11	147.0	15.0	18.0	114.0	10.34	34.36	755.83	30.5	0.4	30.1	8.9	23.62
PI401220	37.2	55.57	14.59	23.67	5.3	312.0	57.0	3.0	68.11	147.0	15.0	18.0	114.0	10.34	34.36	755.83	30.5	0.4	30.1	8.9	23.62
PI401221	37.36	56.2	11.92	22.53	1.03	278.0	50.0	5.0	65.23	129.0	18.0	22.0	97.0	12.52	35.36	870.99	30.5	-4.9	35.4	6.12	21.95
PI401222	37.36	56.2	11.92	22.53	1.03	278.0	50.0	5.0	65.23	129.0	18.0	22.0	97.0	12.52	35.36	870.99	30.5	-4.9	35.4	6.12	21.95
PI401223	37.36	56.2	11.92	22.53	1.03	278.0	50.0	5.0	65.23	129.0	18.0	22.0	97.0	12.52	35.36	870.99	30.5	-4.9	35.4	6.12	21.95
PI401225	36.99	55.06	16.17	25.05	7.42	379.0	65.0	5.0	60.8	166.0	19.0	29.0	137.0	9.37	32.64	730.17	31.3	2.6	28.7	10.38	24.77
PI401226	36.99	55.06	16.17	25.05	7.42	379.0	65.0	5.0	60.8	166.0	19.0	29.0	137.0	9.37	32.64	730.17	31.3	2.6	28.7	10.38	24.77
PI401227	36.99	55.06	16.17	25.05	7.42	379.0	65.0	5.0	60.8	166.0	19.0	29.0	137.0	9.37	32.64	730.17	31.3	2.6	28.7	10.38	24.77
PI401228	36.99	55.06	16.17	25.05	7.42	379.0	65.0	5.0	60.8	166.0	19.0	29.0	137.0	9.37	32.64	730.17	31.3	2.6	28.7	10.38	24.77
PI401230	36.99	55.06	16.17	25.05	7.42	379.0	65.0	5.0	60.8	166.0	19.0	29.0	137.0	9.37	32.64	730.17	31.3	2.6	28.7	10.38	24.77
PI401231	36.99	55.06	16.17	25.05	7.42	379.0	65.0	5.0	60.8	166.0	19.0	29.0	137.0	9.37	32.64	730.17	31.3	2.6	28.7	10.38	24.77
PI401232	36.22	51.3	9.05	20.37	-2.87	273.0	50.0	4.0	60.22	120.0	16.0	21.0	85.0	10.64	29.4	943.81	28.0	-8.2	36.2	8.1	19.93
PI401233	36.22	51.3	9.05	20.37	-2.87	273.0	50.0	4.0	60.22	120.0	16.0	21.0	85.0	10.64	29.4	943.81	28.0	-8.2	36.2	8.1	19.93
PI401234	36.22	51.3	9.05	20.37	-2.87	273.0	50.0	4.0	60.22	120.0	16.0	21.0	85.0	10.64	29.4	943.81	28.0	-8.2	36.2	8.1	19.93
PI401235	36.22	51.3	9.05	20.37	-2.87	273.0	50.0	4.0	60.22	120.0	16.0	21.0	85.0	10.64	29.4	943.81	28.0	-8.2	36.2	8.1	19.93
PI401236	36.22	51.3	9.05	20.37	-2.87	273.0	50.0	4.0	60.22	120.0	16.0	21.0	85.0	10.64	29.4	943.81	28.0	-8.2	36.2	8.1	19.93
PI401237	36.22	51.3	9.05	20.37	-2.87	273.0	50.0	4.0	60.22	120.0	16.0	21.0	85.0	10.64	29.4	943.81	28.0	-8.2	36.2	8.1	19.93
PI401238	36.22	51.3	9.05	20.37	-2.87	273.0	50.0	4.0	60.22	120.0	16.0	21.0	85.0	10.64	29.4	943.81	28.0	-8.2	36.2	8.1	19.93
PI401239	36.22	51.3	9.05	20.37	-2.87	273.0	50.0	4.0	60.22	120.0	16.0	21.0	85.0	10.64	29.4	943.81	28.0	-8.2	36.2	8.1	19.93
PI401240	36.22	51.3	9.05	20.37	-2.87	273.0	50.0	4.0	60.22	120.0	16.0	21.0	85.0	10.64	29.4	943.81	28.0	-8.2	36.2	8.1	19.93
PI401241	36.22	51.3	9.05	20.37	-2.87	273.0	50.0	4.0	60.22	120.0	16.0	21.0	85.0	10.64	29.4	943.81	28.0	-8.2	36.2	8.1	19.93
PI401242	35.98	52.05	2.95	14.97	-9.35	246.0	46.0	2.0	73.1	133.0	16.0	25.0	61.0	11.06	28.87	991.09	23.0	-15.3	38.3	1.63	14.45
PI401243	36.34	53.35	16.55	26.52	6.32	454.0	61.0	13.0	44.32	174.0	50.0	50.0	152.0	9.45	30.39	827.13	32.0	0.9	31.1	12.35	26.52
PI401244	38.39	47.64	9.73	19.73	-0.92	361.0	61.0	11.0	47.23	146.0	44.0	56.0	67.0	11.78	32.89	836.71	28.7	-7.1	35.8	9.07	19.42
PI440001	43.88	41.73	7.35	16.88	-2.87	710.0	112.0	22.0	51.78	297.0	75.0	294.0	75.0	12.82	37.37	800.87	24.6	-9.7	34.3	15.15	-2.87
PI440002	43.88	41.73	7.35	16.88	-2.87	710.0	112.0	22.0	51.78	297.0	75.0	294.0	75.0	12.82	37.37	800.87	24.6	-9.7	34.3	15.15	-2.87
PI440003	44.81	42.03	8.67	19.35	-2.22	546.0	90.0	20.0	45.47	220.0	69.0	211.0	70.0	9.12	27.79	879.61	25.8	-7.0	32.8	17.4	-1.33
PI440004	45.05	41.97	9.22	20.4	-2.03	552.0	86.0	23.0	39.64	213.0	75.0	200.0	81.0	9.02	26.86	914.83	27.0	-6.6	33.6	18.4	-1.17
PI440005	45.05	41.97	9.22	20.4	-2.03	552.0	86.0	23.0	39.64	213.0	75.0	200.0	81.0	9.02	26.86	914.83	27.0	-6.6	33.6	18.4	-1.17
PI440006	45.05	41.97	9.22	20.4	-2.03	552.0	86.0	23.0	39.64	213.0	75.0	200.0	81.0	9.02	26.86	914.83	27.0	-6.6	33.6	18.4	-1.17
PI440007	45.05	41.97	9.22	20.4	-2.03	552.0	86.0	23.0	39.64	213.0	75.0	200.0	81.0	9.02	26.86	914.83	27.0	-6.6	33.6	18.4	-1.17
PI440008	45.05	41.99	9.47	20.73	-1.88	553.0	86.0	24.0	38.49	211.0	77.0	198.0	84.0	9.15	26.99	921.9	27.5	-6.4	33.9	18.72	-0.98
PI440009	45.05	41.99	9.47	20.73	-1.88	553.0	86.0	24.0	38.49	211.0	77.0	198.0	84.0	9.15	26.99	921.9	27.5	-6.4	33.9	18.72	-0.98
PI440010	45.05	41.98	9.5	20.73	-1.83	548.0	84.0	23.0	38.02	208.0	76.0	194.0	83.0	9.05	26.78	920.01	27.4	-6.4	33.8	18.72	-0.93
PI440011	45.34	42.85	10.6	22.47	-1.2	456.0	71.0	21.0	38.16	173.0	69.0	167.0	74.0	9.98	28.1	964.01	30.2	-5.3	35.5	20.47	-0.12
PI440012	44.81	42.03	8.67	19.35	-2.22	546.0	90.0	20.0	45.47	220.0	69.0	211.0	70.0	9.12	27.79	879.61	25.8	-7.0	32.8	17.4	-1.33
PI440013	44.81	42.03	8.67	19.35	-2.22	546.0	90.0	20.0	45.47	220.0	69.0	211.0	70.0	9.12	27.79	879.61	25.8	-7.0	32.8	17.4	-1.33
PI440014	45.03	43.7	9.91	22.53	-2.5	430.0	65.0	19.0	37.56	162.0	63.0	160.0	68.0	10.04	27.07	1018.28	30.6	-6.5	37.1	20.12	-1.33
PI440015	45.08	43.04	9.73	21.57	-2.12	457.0	70.0	20.0	38.99	174.0	65.0	167.0	69.0	9.88	27.84	964.81	29.3	-6.2	35.5	19.45	-1.05
PI440016	45.08	43.04	9.73	21.57	-2.12	457.0	70.0	20.0	38.99	174.0	65.0	167.0	69.0	9.88	27.84	964.81	29.3	-6.2	35.5	19.45	-1.05
PI440017	45.08	43.04	9.73	21.57	-2.12	457.0	70.0	20.0	38.99	174.0	65.0	167.0	69.0	9.88	27.84	964.81	29.3	-6.2	35.5	19.45	-1.05
PI440018	45.08	43.04	9.73	21.57	-2.12	457.0	70.0	20.0	38.99	174.0	65.0	167.0	69.0	9.88	27.84	964.81	29.3	-6.2	35.5	19.45	-1.05
PI440019	44.78	45.52	11.21	24.32	-1.77	291.0	41.0	15.0	33.31	107.0	49.0	105.0	50.0	10.3	27.03	1057.94	32.3	-5.8	38.1	22.15	-0.57
PI440021	42.9	71.37	10.89	24.23	-2.32	310.0	48.0	5.0	47.67	122.0	24.0	37.0	83.0	12.85	30.24	1074.47	33.7	-8.8	42.5	11.03	22.53
PI440022	42.32	69.6	13.51	26.0	0.8	474.0	71.0	3.0	61.12	187.0	18.0	24.0	168.0	12.8	31.68	1011.02	34.8	-5.6	40.4	7.95	24.58
PI440023	42.35	69.67	13.09	25.52	0.32	492.0	75.0	4.0	60.29	194.0	21.0	26.0	168.0	12.89	31.75	1010.88	34.4	-6.2	40.6	13.45	24.28
PI440024	42.32	69.6	13.51	26.0	0.8	474.0	71.0	3.0	61.12	187.0	18.0	24.0	168.0	12.8	31.68	1011.02	34.8	-5.6	40.4	7.95	24.58
PI440025	42.32	69.6	13.51	26.0	0.8	474.0	71.0	3.0	61.12	187.0	18.0	24.0	168.0	12.8	31.68	1011.02	34.8	-5.6	40.4	7.95	24.58
PI440026	42.32	69.6	13.51	26.0	0.8	474.0	71.0	3.0	61.12	187.0	18.0	24.0	168.0	12.8	31.68	1011.02	34.8	-5.6	40.4	7.95	24.58
PI440027	44.7	41.9	10.35	21.33	-0.87	560.0	87.0	24.0	38.64	208.0	81.0	208.0	85.0	10.08	29.23	902.03	28.5	-6.0	34.5	21.33	0.27
PI440028	44.7	41.9	10.35	21.33	-0.87	560.0	87.0	24.0	38.64	208.0	81.0	208.0	85.0	10.08	29.23	902.03	28.5	-6.0	34.5	21.33	0.27
PI440029	45.02	41.03	10.74	21.65	-0.75	630.0	84.0	30.0	28.42	219.0	104.0	206.0	115.0	10.73	30.73	909.53	29.3	-5.6	34.9	19.65	0.63
PI440030	45.02	41.03	10.74	21.65	-0.75	630.0	84.0	30.0	28.42	219.0	104.0	206.0	115.0	10.73	30.73	909.53	29.3	-5.6	34.9	19.65	0.63
PI440031	45.02	41.03	10.74	21.65	-0.75	630.0	84.0	30.0	28.42	219.0	104.0	206.0	115.0	10.73	30.73	909.53	29.3	-5.6	34.9	19.65	0.63
PI440032	44.62	41.86	10.02	20.9	-1.3	566.0	89.0	23.0	41.77	216.0	79.0	216.0	80.0	10.73	30.73	902.22	28.2	-6.7	34.9	18.93	-0.05
PI440033	45.1	43.37	9.64	21.95	-2.45	444.0	67.0	19.0	37.64	167.0	64.0	163.0	68.0	9.9	27.12	993.06	29.9	-6.6	36.5	19.57	-1.33
PI440034	45.1	43.37	9.64	21.95	-2.45	444.0	67.0	19.0	37.64	167.0	64.0	163.0	68.0	9.9	27.12	993.06	29.9	-6.6	36.5	19.57	-1.33
PI440035	45.1	43.37	9.64	21.95	-2.45	444.0	67.0	19.0	37.64	167.0	64.0	163.0	68.0	9.9	27.12	993.06	29.9	-6.6	36.5	19.57	-1.33
PI440036	43.1	72.94	10.02	24.05	-4.95	293.0	41.0	8.0	40.83	110.0	32.0	50.0	69.0	13.47	29.4	1154.34	33.6	-12.2	45.8	10.97	22.17
PI440037	42.98	72.37	9.65	23.2	-4.38	275.0	42.0	7.0	44.16	109.0	30.0	47.0	61.0	13.09	29.89	1103.04	32.7	-11.1	43.8	10.08	21.45
PI440038	42.98	72.37	9.65	23.2	-4.38	275.0	42.0	7.0	44.16	109.0	30.0	47.0	61.0	13.09	29.89	1103.04	32.7	-11.1	43.8	10.08	21.45
PI440039	43.02	71.19	10.99	24.2	-2.32	297.0	46.0	4.0	49.21	115.0	21.0	30.0	84.0	12.75	30.21	1071.84	33.5	-8.7	42.2	11.23	22.65
PI440040	43.02	71.19	10.99	24.2	-2.32	297.0	46.0	4.0	49.21	115.0	21.0	30.0	84.0	12.75	30.21	1071.84	33.5	-8.7	42.2	11.23	22.65
PI440041	42.57	70.56	9.15	20.68	-2.7	588.0	88.0	9.0	52.2	229.0	40.0	52.0	178.0	12.43	32.44	953.84	29.9	-8.4	38.3	8.1	20.27
PI440042	42.57	70.56	9.15	20.68	-2.7	588.0	88.0	9.0	52.2	229.0	40.0	52.0	178.0	12.43	32.44	953.84	29.9	-8.4	38.3	8.1	20.27
PI440043	42.57	70.56	9.15	20.68	-2.7	588.0	88.0	9.0	52.2	229.0	40.0	52.0	178.0	12.43	32.44	953.84	29.9	-8.4	38.3	8.1	20.27
PI440044	42.57	70.56	9.15	20.68	-2.7	588.0	88.0	9.0	52.2	229.0	40.0	52.0	178.0	12.43	32.44	953.84	29.9	-8.4	38.3	8.1	20.27
PI440045	42.57	70.56	9.15	20.68	-2.7	588.0	88.0	9.0	52.2	229.0	40.0	52.0	178.0	12.43	32.44	953.84	29.9	-8.4	38.3	8.1	20.27
PI440046	42.45	69.14	13.75	27.43	-0.23	345.0	51.0	2.0	62.35	138.0	12.0	16.0	128.0	13.27	30.38	1110.79	36.9	-6.8	43.7	7.83	25.72
PI440047	42.23	68.29	13.85	28.35	-0.67	292.0	43.0	2.0	63.43	117.0	10.0	14.0	116.0	13.18	29.43	1172.51	38.0	-6.8	44.8	7.68	26.33
PI440048	42.23	68.29	13.85	28.35	-0.67	292.0	43.0	2.0	63.43	117.0	10.0	14.0	116.0	13.18	29.43	1172.51	38.0	-6.8	44.8	7.68	26.33
PI440049	42.23	68.29	13.85	28.35	-0.67	292.0	43.0	2.0	63.43	117.0	10.0	14.0	116.0	13.18	29.43	1172.51	38.0	-6.8	44.8	7.68	26.33
PI440050	42.23	68.29	13.85	28.35	-0.67	292.0	43.0	2.0	63.43	117.0	10.0	14.0	116.0	13.18	29.43	1172.51	38.0	-6.8	44.8	7.68	26.33
PI440051	42.23	68.29	13.85	28.35	-0.67	292.0	43.0	2.0	63.43	117.0	10.0	14.0	116.0	13.18	29.43	1172.51	38.0	-6.8	44.8	7.68	26.33
PI440052	42.23	68.29	13.85	28.35	-0.67	292.0	43.0	2.0	63.43	117.0	10.0	14.0	116.0	13.18	29.43	1172.51	38.0	-6.8	44.8	7.68	26.33
PI440053	42.23	68.29	13.85	28.35	-0.67	292.0	43.0	2.0	63.43	117.0	10.0	14.0	116.0	13.18	29.43	1172.51	38.0	-6.8	44.8	7.68	26.33
PI440054	42.23	68.29	13.85	28.35	-0.67	292.0	43.0	2.0	63.43	117.0	10.0	14.0	116.0	13.18	29.43	1172.51	38.0	-6.8	44.8	7.68	26.33
PI440055	42.23	68.29	13.85	28.35	-0.67	292.0	43.0	2.0	63.43	117.0	10.0	14.0	116.0	13.18	29.43	1172.51	38.0	-6.8	44.8	7.68	26.33
PI440056	41.27	68.12	14.56	28.07	1.03	329.0	49.0	2.0	65.59	135.0	10.0	13.0	132.0	12.87	30.78	1088.71	37.3	-4.5	41.8	8.52	25.98
