<Phenotype>
taxa	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data
Taxa	Latitude	Longitude	wc2.1_30s_bio_1	wc2.1_30s_bio_10	wc2.1_30s_bio_11	wc2.1_30s_bio_12	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_15	wc2.1_30s_bio_16	wc2.1_30s_bio_17	wc2.1_30s_bio_18	wc2.1_30s_bio_19	wc2.1_30s_bio_2	wc2.1_30s_bio_3	wc2.1_30s_bio_4	wc2.1_30s_bio_5	wc2.1_30s_bio_6	wc2.1_30s_bio_7	wc2.1_30s_bio_8	wc2.1_30s_bio_9
PI229928	35.72	52.53	9.4	21.67	-3.48	188.0	38.0	2.0	69.19	92.0	9.0	13.0	59.0	11.02	28.32	1015.2	29.7	-9.2	38.9	8.77	20.9
PI240129	38.08	46.29	12.38	24.7	-0.38	283.0	49.0	4.0	58.7	130.0	16.0	29.0	67.0	10.92	28.21	1019.13	32.8	-5.9	38.7	11.1	24.4
PI249145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI249146	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI253430	45.55	13.73	14.34	23.02	6.12	977.0	110.0	52.0	22.24	314.0	181.0	240.0	199.0	7.09	27.92	688.63	28.2	2.8	25.4	14.98	6.95
PI255150	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI273732	57.19	39.42	4.08	16.67	-8.47	599.0	84.0	27.0	34.25	220.0	91.0	220.0	108.0	8.48	23.5	1023.55	23.1	-13.0	36.1	16.67	-2.43
PI273733	51.73	36.19	6.16	18.23	-6.23	639.0	81.0	36.0	24.73	211.0	117.0	211.0	125.0	8.07	23.68	1007.48	24.0	-10.1	34.1	18.23	-5.08
PI273737	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI286118	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI297872	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI297876	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI314054	47.6	41.05	9.29	21.63	-3.35	505.0	56.0	30.0	20.63	157.0	100.0	146.0	121.0	8.91	24.68	1028.65	28.6	-7.5	36.1	19.9	-2.18
PI314140	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI314189	41.78	70.26	7.25	18.15	-3.88	795.0	113.0	12.0	53.03	291.0	52.0	67.0	263.0	12.07	32.79	899.11	27.2	-9.6	36.8	0.92	17.63
PI314190	41.78	70.26	7.25	18.15	-3.88	795.0	113.0	12.0	53.03	291.0	52.0	67.0	263.0	12.07	32.79	899.11	27.2	-9.6	36.8	0.92	17.63
PI314191	41.78	70.26	7.25	18.15	-3.88	795.0	113.0	12.0	53.03	291.0	52.0	67.0	263.0	12.07	32.79	899.11	27.2	-9.6	36.8	0.92	17.63
PI314192	41.34	70.52	1.25	12.23	-9.95	610.0	88.0	17.0	42.26	235.0	66.0	66.0	159.0	12.36	32.18	929.0	22.2	-16.2	38.4	-0.55	12.23
PI314193	42.34	71.52	0.3	11.17	-11.32	531.0	72.0	22.0	35.12	195.0	79.0	109.0	119.0	14.21	34.82	954.69	21.8	-19.0	40.8	-1.43	11.13
PI314610	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI315065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI315067	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI315353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI315354	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI315355	44.67	43.52	9.85	22.3	-2.55	460.0	70.0	19.0	40.45	179.0	63.0	173.0	66.0	10.31	27.64	1009.01	30.5	-6.8	37.3	19.88	-1.38
PI316122	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI317404	35.21	62.33	15.35	26.98	4.15	338.0	83.0	0.0	100.99	202.0	2.0	2.0	165.0	15.21	38.12	921.06	37.2	-2.7	39.9	5.3	26.98
PI317406	34.62	63.25	4.46	15.62	-7.77	340.0	71.0	1.0	95.92	197.0	3.0	4.0	197.0	14.44	36.01	943.89	24.9	-15.2	40.1	-7.77	14.42
PI318923	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI325183	44.67	43.52	9.85	22.3	-2.55	460.0	70.0	19.0	40.45	179.0	63.0	173.0	66.0	10.31	27.64	1009.01	30.5	-6.8	37.3	19.88	-1.38
PI325190	43.86	42.79	6.35	15.52	-3.03	653.0	107.0	20.0	57.27	290.0	65.0	281.0	65.0	9.57	32.13	759.91	21.4	-8.4	29.8	13.73	-3.03
PI325191	43.86	42.79	6.35	15.52	-3.03	653.0	107.0	20.0	57.27	290.0	65.0	281.0	65.0	9.57	32.13	759.91	21.4	-8.4	29.8	13.73	-3.03
PI326209	50.27	87.44	-5.82	8.03	-20.03	437.0	78.0	8.0	67.67	213.0	26.0	213.0	34.0	10.97	26.97	1149.34	14.9	-25.8	40.7	8.03	-18.2
PI340064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI343186	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
