"clust","n_samples","Mean_EV1","Mean_EV2","Mean_EV3","Mean_EV4","Mean_EV5"
"1",60,0.0326580436833333,-0.0206497287166667,-0.02660496705,-0.0861815305166667,-0.0331010950333333
"2",18,-0.09146149,0.00712245772222222,0.0167250506111111,0.0611817353888889,-0.171077737
"3",34,-0.111270312794118,-0.0729988571764706,0.0099801845,-0.0162918554117647,0.0472753457058824
"4",168,0.0296348957031364,-0.00162357448809524,0.0234591331607143,0.0264253292916667,0.013101751047619
"5",28,-0.02110069075,0.0480588608571429,-0.142398061107143,0.0409036497142857,0.0247710086428571
"6",13,-0.0706021775384615,0.193834848538462,0.0770717060769231,-0.0739395255384615,0.0433400607692308
